# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	20233	20508	-	KOIAIB_00023	178.0	3.8e-58	0.989	0.818	0.933	UniRef:UniRef50_P19763
contig_1	cds	20815	21078	-	KOIAIB_00024	111.0	8.7e-32	0.954	0.806	0.735	UniRef:UniRef50_P57251
contig_1	cds	21407	22348	+	KOIAIB_00025	426.0	4.1e-148	0.981	0.819	0.691	UniRef:UniRef50_Q7N8X3
contig_1	cds	22391	25207	+	KOIAIB_00026	1501.0	0.0	1.0	0.963	0.756	UniRef:UniRef50_Q8ZIM0
contig_1	cds	25207	25701	+	KOIAIB_00027	261.0	2.9e-88	0.988	0.835	0.765	UniRef:UniRef50_Q9KU46
contig_1	cds	25826	26275	+	KOIAIB_00028	170.0	2.4e-53	0.960	0.935	0.580	UniRef:UniRef50_A0A376DLB2
contig_1	cds	26277	27227	+	KOIAIB_00029	419.0	5.9e-146	0.984	0.904	0.685	UniRef:UniRef50_A0A5J6QFE6
contig_1	cds	27293	28207	+	KOIAIB_00030	601.0	2.3e-218	0.993	0.910	0.987	UniRef:UniRef50_P22564
contig_1	cds	28374	29195	+	KOIAIB_00031	355.0	4.5e-122	0.982	0.859	0.679	UniRef:UniRef50_Q2NVY2
contig_1	ncRNA	29551	29603	+	KOIAIB_00032	87.5	2.8e-15	-	-	-	RFAM:RF02750
contig_1	cds	29651	30799	+	KOIAIB_00033	649.0	5.7e-234	1.183	1.0	0.735	UniRef:UniRef50_P0A6F1
contig_1	cds	30817	34038	+	KOIAIB_00034	2035.0	0.0	0.999	0.823	0.971	UniRef:UniRef50_P00968
contig_1	cds	34300	34695	+	KOIAIB_00035	-	-	-	-	-	-
contig_1	cds	34781	35371	-	KOIAIB_00036	278.0	5.3e-94	0.995	0.878	0.708	UniRef:UniRef50_A0A376W173
contig_1	cds	35377	36162	-	KOIAIB_00037	503.0	1.8e-180	0.981	0.828	1.0	UniRef:UniRef50_P31551
contig_1	cds	36271	37824	-	KOIAIB_00038	803.0	3.1e-292	0.834	0.913	0.921	UniRef:UniRef50_A0A447JNP6
contig_1	cds	37898	39115	-	KOIAIB_00039	807.0	3.4e-296	1.0	0.918	0.943	UniRef:UniRef50_P31572
contig_1	cds	39244	40386	-	KOIAIB_00040	746.0	1.6e-273	1.029	1.0	0.949	UniRef:UniRef50_P60584
contig_1	cds	40417	41931	-	KOIAIB_00041	759.0	6.2e-274	0.982	0.894	0.729	UniRef:UniRef50_P31553
contig_1	cds	42403	43173	+	KOIAIB_00042	405.0	1.7e-142	1.0	0.921	0.844	UniRef:UniRef50_A0A2X4TIQ2
contig_1	cds	43188	44129	+	KOIAIB_00043	502.0	1.1e-178	1.102	1.0	0.751	UniRef:UniRef50_P31574
contig_1	cds	44180	45466	+	KOIAIB_00044	506.0	1.2e-176	1.056	1.0	0.580	UniRef:UniRef50_P77337
contig_1	cds	45463	45750	+	KOIAIB_00045	172.0	7.7e-56	1.116	1.0	0.774	UniRef:UniRef50_A0A120M097
contig_1	cds	45807	47138	+	KOIAIB_00046	683.0	2.9e-246	0.986	0.940	0.753	UniRef:UniRef50_K0YN79
contig_1	cds	47246	47776	+	KOIAIB_00047	259.0	4.0e-87	0.972	0.830	0.673	UniRef:UniRef50_Q8ZRW3
contig_1	cds	47769	49631	+	KOIAIB_00048	1120.0	0.0	1.108	1.0	0.901	UniRef:UniRef50_P03819
contig_1	cds	49712	50302	+	KOIAIB_00049	299.0	4.0e-103	0.918	0.989	0.778	UniRef:UniRef50_Q6D0D5
contig_1	cds	50380	51222	-	KOIAIB_00050	486.0	4.2e-174	0.979	0.993	0.807	UniRef:UniRef50_C4L9L6
contig_1	cds	51229	51606	-	KOIAIB_00051	252.0	3.6e-86	0.992	0.855	1.0	UniRef:UniRef50_Q56017
contig_1	cds	51609	52430	-	KOIAIB_00052	351.0	2.0e-120	0.971	0.855	0.653	UniRef:UniRef50_P06992
contig_1	cds	52427	53416	-	KOIAIB_00053	425.0	8.3e-148	1.009	0.902	0.645	UniRef:UniRef50_P58719
contig_1	cds	53416	54702	-	KOIAIB_00054	549.0	1.6e-193	0.995	0.926	0.660	UniRef:UniRef50_P0ABZ6
contig_1	cds	54755	57109	-	KOIAIB_00055	1161.0	0.0	1.018	0.989	0.711	UniRef:UniRef50_B4F2H9
contig_1	cds	57364	58179	+	KOIAIB_00056	258.0	4.3e-84	1.063	1.003	0.510	UniRef:UniRef50_Q74Q30
contig_1	cds	58474	59124	+	KOIAIB_00057	409.0	2.7e-145	0.921	0.861	1.0	UniRef:UniRef50_P39220
contig_1	cds	59121	59279	+	KOIAIB_00058	-	-	-	-	-	-
contig_1	cds	59687	60346	-	KOIAIB_00059	341.0	5.4e-118	1.0	0.811	0.763	UniRef:UniRef50_P0AA37
contig_1	cds	60358	63264	-	KOIAIB_00060	1862.0	0.0	0.985	0.873	0.999	UniRef:UniRef50_P60240
contig_1	cds	63429	65780	-	KOIAIB_00061	1602.0	0.0	1.0	0.812	0.991	UniRef:UniRef50_P21189
contig_1	cds	65855	66550	-	KOIAIB_00062	459.0	3.6e-164	1.0	0.843	0.961	UniRef:UniRef50_P08203
contig_1	ncRNA	66610	66675	-	KOIAIB_00063	59.6	3.2e-08	-	-	-	RFAM:RF02564
contig_1	ncRNA	66695	66760	-	KOIAIB_00064	59.6	3.2e-08	-	-	-	RFAM:RF02564
contig_1	cds	66835	68337	-	KOIAIB_00065	999.0	0.0	0.998	0.933	0.958	UniRef:UniRef50_P08202
contig_1	cds	68348	70048	-	KOIAIB_00066	657.0	1.1e-232	0.972	0.996	0.573	UniRef:UniRef50_A0A318MXV3
contig_1	cds	70387	71265	+	KOIAIB_00067	535.0	3.9e-193	0.962	0.959	0.875	UniRef:UniRef50_A0A090V0Z5
contig_1	cds	71351	72115	+	KOIAIB_00068	339.0	1.2e-116	1.012	0.992	0.661	UniRef:UniRef50_A0A377TMN9
contig_1	cds	72229	72927	-	KOIAIB_00069	308.0	6.6e-106	0.806	0.989	0.840	UniRef:UniRef50_A0A4U9DD72
contig_1	cds	72911	74521	-	KOIAIB_00070	627.0	1.5e-220	0.989	0.909	0.628	UniRef:UniRef50_A0A8I1W5K3
contig_1	cds	74497	75480	-	KOIAIB_00071	431.0	2.5e-150	0.997	0.921	0.638	UniRef:UniRef50_A0A0U5LKV3
contig_1	ncRNA-region	75511	75610	-	-	65.6	2.1e-10	-	-	-	RFAM:RF00059
contig_1	cds	75644	77299	-	KOIAIB_00072	926.0	0.0	0.993	0.987	0.797	UniRef:UniRef50_A0A377KCN3
contig_1	ncRNA	77367	77593	+	KOIAIB_00073	228.8	5.4e-36	-	-	-	RFAM:RF00534
contig_1	cds	77388	77519	+	KOIAIB_00074	-	-	-	-	-	-
contig_1	cds	77621	78799	+	KOIAIB_00075	522.0	1.2e-183	0.992	0.866	0.679	UniRef:UniRef50_P31675
contig_1	cds	78848	79453	-	KOIAIB_00076	240.0	3.6e-79	0.985	0.938	0.576	UniRef:UniRef50_Q9PLW2
contig_1	cds	79464	80864	-	KOIAIB_00077	901.0	0.0	1.0	0.813	0.970	UniRef:UniRef50_P0A6A6
contig_1	cds	80867	81958	-	KOIAIB_00078	514.0	6.0e-182	0.983	0.884	0.717	UniRef:UniRef50_P56933
contig_1	cds	81958	83529	-	KOIAIB_00079	847.0	3.6e-307	1.0	0.850	0.830	UniRef:UniRef50_P15875
contig_1	ncRNA-region	83573	83722	-	-	145.9	3.9e-25	-	-	-	RFAM:RF00512
contig_1	cds	84368	85312	+	KOIAIB_00080	604.0	9.6e-219	1.0	0.842	0.968	UniRef:UniRef50_P10151
contig_1	cds	85630	87354	+	KOIAIB_00081	1130.0	0.0	1.0	0.891	0.991	UniRef:UniRef50_P00893
contig_1	cds	87357	87848	+	KOIAIB_00082	273.0	1.9e-93	0.994	0.931	0.877	UniRef:UniRef50_P00894
contig_1	cds	88028	89032	+	KOIAIB_00083	603.0	2.2e-218	1.0	0.994	0.898	UniRef:UniRef50_A1JJI2
contig_1	cds	89634	90092	+	KOIAIB_00084	256.0	4.9e-87	1.0	0.968	0.829	UniRef:UniRef50_C5B9E7
contig_1	cds	90094	91035	+	KOIAIB_00085	605.0	1.2e-219	1.0	0.902	1.0	UniRef:UniRef50_P60390
contig_1	cds	91032	91397	+	KOIAIB_00086	217.0	1.7e-72	0.950	0.852	0.957	UniRef:UniRef50_Q7CR84
contig_1	cds	91413	93179	+	KOIAIB_00087	1153.0	0.0	1.0	0.822	1.0	UniRef:UniRef50_P0AD68
contig_1	cds	93166	94653	+	KOIAIB_00088	659.0	1.4e-234	1.095	1.0	0.635	UniRef:UniRef50_Q8ZRU7
contig_1	cds	94650	96008	+	KOIAIB_00089	845.0	6.5e-309	0.991	0.822	0.998	UniRef:UniRef50_P11880
contig_1	cds	96002	97084	+	KOIAIB_00090	692.0	2.8e-252	0.994	0.880	0.969	UniRef:UniRef50_P0A6W3
contig_1	cds	97087	98403	+	KOIAIB_00091	785.0	1.3e-285	0.975	0.816	0.927	UniRef:UniRef50_Q8ZRU4
contig_1	cds	98403	99647	+	KOIAIB_00092	551.0	8.0e-195	0.906	0.833	0.739	UniRef:UniRef50_Q493Q2
contig_1	cds	99644	100711	+	KOIAIB_00093	569.0	3.0e-204	0.994	0.959	0.805	UniRef:UniRef50_Q8ZIE9
contig_1	cds	100765	102240	+	KOIAIB_00094	839.0	6.8e-306	0.998	0.925	0.859	UniRef:UniRef50_P17952
contig_1	cds	102233	103153	+	KOIAIB_00095	377.0	3.0e-129	1.225	1.0	0.552	UniRef:UniRef50_P07862
contig_1	cds	103155	103985	+	KOIAIB_00096	462.0	2.2e-163	1.283	1.003	0.718	UniRef:UniRef50_P06136
contig_1	cds	103982	105244	+	KOIAIB_00097	811.0	1.7e-297	1.0	0.938	0.983	UniRef:UniRef50_P0ABH0
contig_1	ncRNA	105224	105313	+	KOIAIB_00098	105.5	3.7e-17	-	-	-	RFAM:RF02797
contig_1	cds	105305	106456	+	KOIAIB_00099	437.0	2.0e-150	1.146	1.002	0.597	UniRef:UniRef50_Q9ZAW3
contig_1	cds	106557	107474	+	KOIAIB_00100	578.0	4.3e-209	1.141	1.0	0.856	UniRef:UniRef50_Q6LMG1
contig_1	cds	107630	108217	+	KOIAIB_00101	399.0	9.0e-142	1.0	0.859	0.995	UniRef:UniRef50_P62395
contig_1	cds	108279	110984	+	KOIAIB_00102	1187.0	0.0	1.090	0.997	0.625	UniRef:UniRef50_Q83F06
contig_1	ncRNA	110960	111029	+	KOIAIB_00103	84.1	4.5e-14	-	-	-	RFAM:RF02057
contig_1	cds	111044	111433	+	KOIAIB_00104	226.0	1.2e-75	1.0	0.860	0.798	UniRef:UniRef50_P08337
contig_1	ncRNA	111433	111509	+	KOIAIB_00105	77.9	1.5e-11	-	-	-	RFAM:RF02564
contig_1	ncRNA	111549	111626	+	KOIAIB_00106	78.3	1.2e-11	-	-	-	RFAM:RF02564
contig_1	cds	111649	111846	-	KOIAIB_00107	79.0	1.4e-19	0.954	0.849	0.645	UniRef:UniRef50_B2VD52
contig_1	cds	111856	112599	-	KOIAIB_00108	370.0	1.0e-128	0.972	0.845	0.767	UniRef:UniRef50_P36680
contig_1	cds	112599	113219	-	KOIAIB_00109	288.0	1.2e-97	0.990	0.843	0.755	UniRef:UniRef50_P56186
contig_1	cds	113444	114487	+	KOIAIB_00110	440.0	1.4e-152	1.023	0.857	0.628	UniRef:UniRef50_P59443
contig_1	cds	114522	115724	-	KOIAIB_00111	436.0	1.9e-150	0.993	0.973	0.567	UniRef:UniRef50_A0A6I2I279
contig_1	cds	115714	117099	-	KOIAIB_00112	640.0	1.4e-228	1.028	0.996	0.673	UniRef:UniRef50_A0A0H3FWD5
contig_1	cds	117109	117549	-	KOIAIB_00113	234.0	1.2e-78	1.116	0.988	0.755	UniRef:UniRef50_P36647
contig_1	cds	117752	118645	-	KOIAIB_00114	332.0	2.5e-112	1.027	0.990	0.603	UniRef:UniRef50_A0A269PUV1
contig_1	cds	118733	119284	+	KOIAIB_00115	278.0	1.8e-94	0.984	0.837	0.717	UniRef:UniRef50_A0A2J5PP37
contig_1	cds	119281	120135	+	KOIAIB_00116	355.0	2.8e-122	1.007	1.0	0.636	UniRef:UniRef50_A1JJL4
contig_1	cds	120178	121548	-	KOIAIB_00117	577.0	4.3e-203	1.033	0.890	0.641	UniRef:UniRef50_A0A0G3EUP7
contig_1	cds	122092	122856	+	KOIAIB_00118	380.0	4.3e-132	1.193	0.997	0.716	UniRef:UniRef50_P0ACL9
contig_1	ncRNA	122901	123014	-	KOIAIB_00119	103.4	1.2e-18	-	-	-	RFAM:RF02030
contig_1	cds	123017	125680	+	KOIAIB_00120	1624.0	0.0	1.080	1.0	0.842	UniRef:UniRef50_A0A6H2F9S0
contig_1	cds	125695	127587	+	KOIAIB_00121	954.0	0.0	1.187	1.003	0.774	UniRef:UniRef50_P06959
contig_1	cds	127912	129336	+	KOIAIB_00122	892.0	0.0	1.084	1.0	0.893	UniRef:UniRef50_P0A9P0
contig_1	cds	129407	131260	-	KOIAIB_00123	-	-	-	-	-	-
contig_1	cds	131615	134212	+	KOIAIB_00124	1264.0	0.0	1.012	0.855	0.733	UniRef:UniRef50_A0A2S5M6R7
contig_1	cds	134388	134750	+	KOIAIB_00125	183.0	5.3e-59	0.975	0.818	0.735	UniRef:UniRef50_P0A8E5
contig_1	cds	134788	135582	-	KOIAIB_00126	406.0	3.2e-142	0.992	0.826	0.744	UniRef:UniRef50_P0A7F6
contig_1	cds	135598	136464	-	KOIAIB_00127	416.0	4.9e-146	0.997	0.990	0.686	UniRef:UniRef50_A0A9W6K5P1
contig_1	cds	136570	136878	-	KOIAIB_00128	158.0	2.2e-50	0.814	1.0	0.916	UniRef:UniRef50_A0A4Z0KCQ4
contig_1	cds	137083	138633	+	KOIAIB_00129	978.0	0.0	1.194	1.0	0.833	UniRef:UniRef50_P36649
contig_1	cds	138835	141225	-	KOIAIB_00130	976.0	0.0	0.996	0.995	0.603	UniRef:UniRef50_A0A447QUM1
contig_1	cds	141431	141967	+	KOIAIB_00131	240.0	6.5e-80	0.989	0.893	0.670	UniRef:UniRef50_P18134
contig_1	cds	142008	142670	-	KOIAIB_00132	290.0	4.5e-98	0.968	0.859	0.629	UniRef:UniRef50_P45148
contig_1	cds	142779	143705	+	KOIAIB_00133	365.0	4.3e-125	0.984	0.902	0.624	UniRef:UniRef50_A0A0W0U308
contig_1	cds	143702	144472	+	KOIAIB_00134	385.0	2.9e-134	1.0	0.828	0.742	UniRef:UniRef50_P0AFN6
contig_1	cds	144577	145017	+	KOIAIB_00135	244.0	1.5e-82	1.0	0.864	0.781	UniRef:UniRef50_P36881
contig_1	cds	145081	146310	+	KOIAIB_00136	672.0	3.1e-243	0.949	0.935	0.817	UniRef:UniRef50_A0A379WZK3
contig_1	cds	146314	146694	-	KOIAIB_00137	214.0	9.5e-72	0.849	1.0	0.991	UniRef:UniRef50_A0A376FKL2
contig_1	cds	146968	147870	+	KOIAIB_00138	530.0	3.8e-190	1.127	1.0	0.864	UniRef:UniRef50_P31665
contig_1	cds	147944	148795	-	KOIAIB_00139	468.0	1.6e-166	0.848	0.828	1.0	UniRef:UniRef50_A0A143WS51
contig_1	cds	148807	149601	-	KOIAIB_00140	427.0	1.2e-150	0.996	0.840	0.821	UniRef:UniRef50_P31057
contig_1	cds	149715	150953	-	KOIAIB_00141	818.0	6.1e-301	0.978	0.953	1.0	UniRef:UniRef50_P31058
contig_1	cds	151003	151599	-	KOIAIB_00142	316.0	3.5e-109	0.985	0.878	0.831	UniRef:UniRef50_P37016
contig_1	cds	151626	152231	-	KOIAIB_00143	364.0	4.5e-128	1.0	0.918	1.0	UniRef:UniRef50_P37017
contig_1	cds	152243	152812	-	KOIAIB_00144	337.0	1.2e-117	0.926	0.845	1.0	UniRef:UniRef50_P37018
contig_1	cds	152829	155426	-	KOIAIB_00145	1590.0	0.0	1.288	1.0	0.757	UniRef:UniRef50_A0A8S0G232
contig_1	cds	155461	156201	-	KOIAIB_00146	286.0	2.8e-96	0.939	0.931	0.584	UniRef:UniRef50_A0A0D7LPL0
contig_1	cds	156299	156883	-	KOIAIB_00147	353.0	4.8e-124	0.954	0.837	1.0	UniRef:UniRef50_P37050
contig_1	cds	157253	157732	-	KOIAIB_00148	253.0	1.5e-85	1.0	0.958	0.799	UniRef:UniRef50_A0A090IJW5
contig_1	cds	157729	159093	-	KOIAIB_00149	691.0	6.5e-248	0.958	0.804	0.795	UniRef:UniRef50_A0A2X3ERX0
contig_1	cds	159186	160112	-	KOIAIB_00150	469.0	1.9e-166	0.925	0.963	0.779	UniRef:UniRef50_Q07Y01
contig_1	cds	160149	160604	-	KOIAIB_00151	291.0	1.5e-100	1.0	0.825	0.967	UniRef:UniRef50_P57294
contig_1	cds	160782	161486	-	KOIAIB_00152	256.0	3.1e-84	1.111	0.981	0.504	UniRef:UniRef50_Q8ZRQ6
contig_1	cds	161501	162031	-	KOIAIB_00153	261.0	3.8e-88	1.057	0.989	0.699	UniRef:UniRef50_A0A379TGX4
contig_1	cds	162105	164534	+	KOIAIB_00154	959.0	0.0	1.002	0.930	0.623	UniRef:UniRef50_P37024
contig_1	cds	164730	167264	+	KOIAIB_00155	1172.0	0.0	1.065	1.004	0.691	UniRef:UniRef50_A0A0U3BXI8
contig_1	cds	167484	169727	+	KOIAIB_00156	1011.0	0.0	1.011	1.013	0.677	UniRef:UniRef50_A0A735A5P7
contig_1	cds	169778	170575	+	KOIAIB_00157	424.0	2.6e-149	0.996	0.852	0.792	UniRef:UniRef50_P07821
contig_1	cds	170575	171465	+	KOIAIB_00158	594.0	6.0e-216	1.0	0.925	0.983	UniRef:UniRef50_P07822
contig_1	cds	171462	173444	+	KOIAIB_00159	1203.0	0.0	1.083	1.0	0.916	UniRef:UniRef50_A0A0J8YC22
contig_1	cds	173602	174882	-	KOIAIB_00160	651.0	1.0e-233	1.0	0.908	0.737	UniRef:UniRef50_Q5NGB9
contig_1	cds	175107	176528	+	KOIAIB_00161	752.0	4.4e-274	0.818	0.995	1.0	UniRef:UniRef50_A0A376X673
contig_1	sorf	176552	176617	+	KOIAIB_00162	45.8	6.8e-13	1.0	1.0	1.0	UniRef:UniRef50_P0DPM7
contig_1	cds	176610	176954	+	KOIAIB_00163	135.0	4.9e-41	0.807	0.979	0.652	UniRef:UniRef50_A0A920M0K7
contig_1	cds	177001	177624	-	KOIAIB_00164	254.0	3.8e-84	0.981	0.849	0.665	UniRef:UniRef50_P0AFP0
contig_1	cds	177662	178462	-	KOIAIB_00165	485.0	8.0e-174	0.921	0.845	1.0	UniRef:UniRef50_P37028
contig_1	cds	178455	179153	-	KOIAIB_00166	269.0	1.8e-89	1.065	0.984	0.583	UniRef:UniRef50_B7GIU7
contig_1	cds	179237	180754	+	KOIAIB_00167	553.0	1.9e-192	1.002	0.889	0.579	UniRef:UniRef50_P15723
contig_1	ncRNA-region	180844	180889	+	-	77.2	2.1e-13	-	-	-	RFAM:RF02700
contig_1	cds	180884	182308	+	KOIAIB_00168	606.0	2.2e-214	1.110	1.0	0.650	UniRef:UniRef50_P26982
contig_1	cds	182463	183620	+	KOIAIB_00169	728.0	1.3e-265	1.099	1.0	0.901	UniRef:UniRef50_P37047
contig_1	cds	183709	184095	-	KOIAIB_00170	221.0	9.0e-74	0.992	0.819	0.874	UniRef:UniRef50_P62768
contig_1	cds	184257	185000	-	KOIAIB_00171	501.0	1.4e-180	1.0	0.855	0.980	UniRef:UniRef50_P37049
contig_1	cds	185123	185947	-	KOIAIB_00172	370.0	4.7e-129	0.810	1.0	0.964	UniRef:UniRef50_A0A3S4UQ12
contig_1	cds	185978	188650	-	KOIAIB_00173	1363.0	0.0	0.999	0.951	0.754	UniRef:UniRef50_P27249
contig_1	cds	188712	189506	-	KOIAIB_00174	463.0	1.4e-164	0.996	0.824	0.837	UniRef:UniRef50_P0A1X6
contig_1	ncRNA	189760	189846	+	KOIAIB_00175	83.6	2.6e-13	-	-	-	RFAM:RF00127
contig_1	cds	189874	190599	+	KOIAIB_00176	402.0	1.2e-141	0.988	0.912	0.845	UniRef:UniRef50_P44371
contig_1	ncRNA	190685	190794	+	KOIAIB_00177	136.3	2.3e-22	-	-	-	RFAM:RF02798
contig_1	cds	190857	191708	+	KOIAIB_00178	359.0	9.9e-124	0.996	0.966	0.684	UniRef:UniRef50_A5WCX3
contig_1	cds	191855	192580	+	KOIAIB_00179	384.0	1.6e-134	0.979	0.846	0.835	UniRef:UniRef50_P0A7E9
contig_1	cds	192872	193429	+	KOIAIB_00180	298.0	2.5e-102	1.0	0.853	0.843	UniRef:UniRef50_Q5NZH2
contig_1	cds	193521	194717	+	KOIAIB_00181	687.0	2.7e-249	0.997	0.928	0.889	UniRef:UniRef50_Q57T35
contig_1	cds	194906	195664	+	KOIAIB_00182	449.0	2.7e-159	0.984	0.803	0.899	UniRef:UniRef50_P60472
contig_1	cds	195664	195816	+	KOIAIB_00183	97.1	2.7e-27	1.0	1.0	0.960	UniRef:UniRef50_A0A6N3QSQ0
contig_1	cds	195785	196534	+	KOIAIB_00184	394.0	5.2e-138	1.0	0.856	0.771	UniRef:UniRef50_A0A7X3SB20
contig_1	cds	196546	197898	+	KOIAIB_00185	794.0	7.1e-289	1.0	0.843	0.882	UniRef:UniRef50_Q8ZRP1
contig_1	cds	197928	200360	+	KOIAIB_00186	1231.0	0.0	1.010	1.0	0.731	UniRef:UniRef50_B2VE18
contig_1	cds	200482	200967	+	KOIAIB_00187	252.0	1.5e-85	0.876	0.986	1.0	UniRef:UniRef50_A0A3S4FYR1
contig_1	cds	200971	201996	+	KOIAIB_00188	289.0	7.2e-94	0.977	0.883	0.583	UniRef:UniRef50_P21645
contig_1	cds	202101	202556	+	KOIAIB_00189	272.0	3.2e-93	1.0	0.825	0.887	UniRef:UniRef50_Q9KPW3
contig_1	cds	202560	203348	+	KOIAIB_00190	325.0	6.2e-112	0.802	1.0	0.986	UniRef:UniRef50_A0A2X3F9N2
contig_1	cds	203348	204496	+	KOIAIB_00191	661.0	3.5e-240	0.880	0.936	0.982	UniRef:UniRef50_A0A376LI07
contig_1	cds	204493	205089	+	KOIAIB_00192	244.0	3.0e-80	1.0	0.805	0.652	UniRef:UniRef50_Q8EGG1
contig_1	cds	205126	208608	+	KOIAIB_00193	2087.0	0.0	0.950	0.896	0.948	UniRef:UniRef50_P10443
contig_1	cds	208621	209580	+	KOIAIB_00194	410.0	7.5e-142	0.994	0.832	0.647	UniRef:UniRef50_Q4ZWR2
contig_1	cds	209679	211820	+	KOIAIB_00195	1014.0	0.0	1.143	0.995	0.605	UniRef:UniRef50_P0A9H3
contig_1	cds	211877	212266	+	KOIAIB_00196	207.0	3.8e-68	0.984	0.830	0.756	UniRef:UniRef50_A0A1V5LLX3
contig_1	cds	212331	213629	+	KOIAIB_00197	543.0	1.2e-192	0.840	0.995	0.727	UniRef:UniRef50_A0A378BF75
contig_1	cds	213678	213938	-	KOIAIB_00198	-	-	-	-	-	-
contig_1	cds	213925	214125	-	KOIAIB_00199	77.4	5.8e-19	0.894	0.808	0.593	UniRef:UniRef50_Q5E739
contig_1	cds	214291	214836	+	KOIAIB_00200	305.0	1.1e-105	0.983	0.932	0.815	UniRef:UniRef50_A0A0H3GIN7
contig_1	cds	214833	215255	+	KOIAIB_00201	229.0	1.1e-76	1.221	1.0	0.795	UniRef:UniRef50_P40711
contig_1	cds	215269	215979	+	KOIAIB_00202	469.0	1.4e-168	1.0	0.944	0.975	UniRef:UniRef50_P40710
contig_1	ncRNA	216058	216134	+	KOIAIB_00203	92.8	2.8e-14	-	-	-	RFAM:RF02564
contig_1	cds	216179	217003	-	KOIAIB_00204	548.0	2.4e-198	1.0	0.938	1.0	UniRef:UniRef50_P37056
contig_1	cds	217057	218775	-	KOIAIB_00205	854.0	1.6e-309	1.005	0.963	0.730	UniRef:UniRef50_G2H1A0
contig_1	cds	218887	219594	-	KOIAIB_00206	343.0	1.1e-119	0.817	1.0	0.870	UniRef:UniRef50_A0A2X3KIH5
contig_1	cds	219591	219995	-	KOIAIB_00207	136.0	3.5e-40	1.097	1.014	0.537	UniRef:UniRef50_P69411
contig_1	cds	220113	220928	-	KOIAIB_00208	368.0	6.0e-127	1.162	1.003	0.638	UniRef:UniRef50_Q9KTJ7
contig_1	cds	220968	221621	-	KOIAIB_00209	-	-	-	-	-	-
contig_1	cds	221614	222645	-	KOIAIB_00210	540.0	3.5e-192	1.204	1.0	0.709	UniRef:UniRef50_P30750
