#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	335280	335885	+	KOIAIB_00340	21.7	5.4	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_1	349518	349964	-	KOIAIB_00355	16.2	10.6		
contig_1	380844	381287	-	KOIAIB_00392	15.7	8.6	PF00132.30|Hexapep	PFAM:PF00132.30
contig_1	383945	384043	-	KOIAIB_00396	3.7	10.7		
contig_1	384059	384616	-	KOIAIB_00397	20.5	6.3		
contig_1	390251	391711	+	KOIAIB_00403	52.9	4.1		
contig_1	396333	396434	-	KOIAIB_00409	3.9	11.6		SO:0001217, UniRef:UniRef50_A0A658Z4P2
contig_1	403281	403601	+	KOIAIB_00417	11.7	9.8	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_1	408628	408747	-	KOIAIB_00425	4.3	6.4		
contig_1	475982	476293	-	KOIAIB_00488	11.5	9.9	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	528640	528900	+	KOIAIB_00540	10.1	4.3		SO:0001217, UniRef:UniRef50_A0A1C6Z213
contig_1	566098	566361	-	KOIAIB_00577	10.5	5.4		
contig_1	566684	566779	+	KOIAIB_00578	3.2	6.7		
contig_1	574481	574699	+	KOIAIB_00591	8.4	9.2		
contig_1	582152	582583	-	KOIAIB_00603	15.5	7.1		
contig_1	582875	583060	+	KOIAIB_00604	7.1	4.1		
contig_1	605518	605886	-	KOIAIB_00621	14.1	8.7		
contig_1	609200	609340	+	KOIAIB_00627	5.3	12.0		
contig_1	643330	643419	-	KOIAIB_00656	3.3	4.5		
contig_1	658031	658258	+	KOIAIB_00672	8.0	4.2		
contig_1	658947	659150	+	KOIAIB_00674	7.0	9.0		
contig_1	675570	676547	-	KOIAIB_00691	37.0	5.0	PF08238.18|Sel1, PF23310.1|TPR_27	PFAM:PF08238.18, PFAM:PF23310.1
contig_1	678852	679406	-	KOIAIB_00694	20.9	9.4	PF08238.18|Sel1	PFAM:PF08238.18
contig_1	705860	705982	-	KOIAIB_00725	4.7	9.7		
contig_1	716388	716597	-	KOIAIB_00736	7.6	4.5		
contig_1	720583	720840	+	KOIAIB_00739	9.5	5.4		SO:0001217, UniRef:UniRef50_A0A094Y538
contig_1	735650	736219	+	KOIAIB_00749	22.0	9.0		
contig_1	754674	754781	-	KOIAIB_00768	3.8	9.2		
contig_1	774196	774309	+	KOIAIB_00784	4.0	4.4		
contig_1	784937	785317	-	KOIAIB_00803	12.9	4.6		
contig_1	903952	904467	-	KOIAIB_00924	19.0	6.1	PF12883.13|DUF3828	PFAM:PF12883.13
contig_1	998490	999191	+	KOIAIB_01000	25.4	9.6	PF00345.26|PapD_N, PF02753.23|PapD_C	PFAM:PF00345.26, PFAM:PF02753.23
contig_1	1015715	1015882	+	KOIAIB_01014	6.5	10.9		
contig_1	1048688	1049332	-	KOIAIB_01048	24.3	6.3		
contig_1	1049439	1049744	-	KOIAIB_01049	9.5	6.0		
contig_1	1068081	1068254	+	KOIAIB_01068	5.9	9.9		
contig_1	1081356	1081466	+	KOIAIB_01080	4.2	10.8		
contig_1	1086106	1086519	-	KOIAIB_01086	16.1	9.4		
contig_1	1095523	1095846	+	KOIAIB_01093	12.0	5.7		
contig_1	1103951	1104406	+	KOIAIB_01105	15.9	9.6	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	1104447	1104902	+	KOIAIB_01106	15.0	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_1	1105414	1105725	+	KOIAIB_01108	11.2	9.0		
contig_1	1201776	1202084	-	KOIAIB_01207	11.5	9.1		
contig_1	1203024	1203224	+	KOIAIB_01209	7.4	9.4		
contig_1	1203822	1204160	+	KOIAIB_01211	12.2	9.3		
contig_1	1204170	1205537	+	KOIAIB_01212	50.9	5.0	PF00392.27|GntR, PF03354.21|TerL_ATPase, PF13730.12|HTH_36, PF20441.4|TerL_nuclease	PFAM:PF00392.27, PFAM:PF03354.21, PFAM:PF13730.12, PFAM:PF20441.4
contig_1	1205549	1205731	+	KOIAIB_01213	6.4	9.1		
contig_1	1205731	1206204	+	KOIAIB_01214	17.6	8.7		
contig_1	1206173	1206922	+	KOIAIB_01215	26.5	4.7		
contig_1	1219601	1221121	+	KOIAIB_01232	52.9	4.4	PF18883.6|AC_1	PFAM:PF18883.6
contig_1	1222644	1222928	-	KOIAIB_01235	8.7	10.5	PF13441.11|Gly-zipper_YMGG, PF13488.11|Gly-zipper_Omp	PFAM:PF13441.11, PFAM:PF13488.11
contig_1	1243793	1244527	-	KOIAIB_01257	27.9	9.0	PF07238.19|PilZ, PF07317.18|PilZN	PFAM:PF07238.19, PFAM:PF07317.18
contig_1	1256297	1256476	+	KOIAIB_01266	7.2	9.9		
contig_1	1269168	1269275	-	KOIAIB_01280	4.0	10.8		
contig_1	1269703	1269810	-	KOIAIB_01282	4.0	10.8		
contig_1	1270238	1270345	-	KOIAIB_01284	4.0	10.8		
contig_1	1277644	1277862	+	KOIAIB_01293	8.6	8.7		
contig_1	1294426	1295016	-	KOIAIB_01308	22.2	9.9	PF01609.27|DDE_Tnp_1	PFAM:PF01609.27
contig_1	1295137	1295322	-	KOIAIB_01309	7.0	6.0		
contig_1	1299272	1299427	+	KOIAIB_01312	5.8	11.2		
contig_1	1315856	1316035	-	KOIAIB_01330	6.0	9.9		
contig_1	1335291	1335458	+	KOIAIB_01347	6.3	4.1		
contig_1	1409308	1409481	+	KOIAIB_01420	6.4	5.6		SO:0001217, UniRef:UniRef50_A0A377BGW3
contig_1	1419156	1419311	-	KOIAIB_01433	5.8	9.0		
contig_1	1419322	1419456	-	KOIAIB_01434	5.2	4.8	PF14555.12|UBA_4	PFAM:PF14555.12
contig_1	1425377	1425640	+	KOIAIB_01443	9.8	6.3		
contig_1	1425621	1425980	+	KOIAIB_01444	13.5	5.4		SO:0001217, UniRef:UniRef50_A0A5B9ART1
contig_1	1426454	1427482	+	KOIAIB_01445	37.1	6.1		
contig_1	1429546	1430283	-	KOIAIB_01447	24.1	4.1		
contig_1	1441058	1441324	+	KOIAIB_01457	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_1	1465392	1467950	+	KOIAIB_01480	87.1	4.1		
contig_1	1489713	1489964	-	KOIAIB_01495	9.2	4.2	PF02800.25|Gp_dh_C	PFAM:PF02800.25
contig_1	1489961	1490338	-	KOIAIB_01496	13.0	8.6	PF02800.25|Gp_dh_C	PFAM:PF02800.25
contig_1	1490597	1490713	-	KOIAIB_01497	4.1	10.0	PF00044.30|Gp_dh_N	PFAM:PF00044.30
contig_1	1491677	1491850	+	KOIAIB_01500	5.9	9.5		
contig_1	1508834	1509004	-	KOIAIB_01518	6.6	6.2		
contig_1	1544384	1544719	-	KOIAIB_01551	12.9	4.8		
contig_1	1544758	1545678	-	KOIAIB_01552	34.8	5.7	PF00560.39|LRR_1, PF12799.13|LRR_4, PF13855.12|LRR_8	PFAM:PF00560.39, PFAM:PF12799.13, PFAM:PF13855.12
contig_1	1545738	1546028	-	KOIAIB_01553	10.7	6.7	PF00267.27|Porin_1	PFAM:PF00267.27
contig_1	1594109	1598086	-	KOIAIB_01590	136.5	4.6	PF12951.13|PATR, PF13018.11|ESPR	PFAM:PF12951.13, PFAM:PF13018.11
contig_1	1640618	1640737	+	KOIAIB_01640	4.4	9.6		
contig_1	1647122	1647349	-	KOIAIB_01650	8.7	10.2		
contig_1	1647346	1647636	-	KOIAIB_01651	11.0	7.9		
contig_1	1649045	1649209	-	KOIAIB_01657	6.3	11.6		SO:0001217, UniRef:UniRef50_UPI000F544FF2
contig_1	1706919	1709141	+	KOIAIB_01714	80.2	8.9	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_1	1712286	1712486	+	KOIAIB_01719	7.8	9.8		
contig_1	1764934	1765122	-	KOIAIB_01775	7.3	5.2		
contig_1	1779404	1779580	-	KOIAIB_01788	6.5	9.5		
contig_1	1789613	1789804	+	KOIAIB_01797	7.1	9.8		
contig_1	1804187	1804993	+	KOIAIB_01813	29.8	6.6	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12
contig_1	1807400	1807690	+	KOIAIB_01817	10.9	4.2		
contig_1	1922037	1922312	+	KOIAIB_01932	10.4	4.3		
contig_1	1929767	1929877	+	KOIAIB_01944	4.1	9.9		SO:0001217, UniRef:UniRef50_J7R1Z9
contig_1	1936480	1936629	-	KOIAIB_01951	5.7	9.9		SO:0001217, UniRef:UniRef50_B2U498
contig_1	1940313	1941635	-	KOIAIB_01955	49.1	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_1	1989681	1990892	+	KOIAIB_02009	42.8	9.4	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_1	2011348	2011539	-	KOIAIB_02036	7.5	5.0		
contig_1	2015868	2016554	+	KOIAIB_02041	25.0	4.6		
contig_1	2028188	2028370	-	KOIAIB_02058	6.7	4.7		
contig_1	2034756	2034848	+	KOIAIB_02067	3.4	8.0		
contig_1	2052624	2053328	-	KOIAIB_02082	26.7	8.3		
contig_1	2070501	2071211	+	KOIAIB_02100	27.1	7.0		
contig_1	2077940	2078134	+	KOIAIB_02108	7.0	4.1		
contig_1	2101396	2101677	-	KOIAIB_02134	11.2	10.0		
contig_1	2102916	2103389	-	KOIAIB_02136	18.2	6.1	PF00535.33|Glycos_transf_2	PFAM:PF00535.33
contig_1	2132067	2132555	-	KOIAIB_02164	17.6	8.9	PF00132.30|Hexapep	PFAM:PF00132.30
contig_1	2153700	2153846	+	KOIAIB_02183	5.2	10.0		
contig_1	2169693	2170139	-	KOIAIB_02196	15.8	6.1	PF00455.28|DeoRC	PFAM:PF00455.28
contig_1	2171395	2171733	-	KOIAIB_02199	12.4	8.2	PF08220.18|HTH_DeoR	PFAM:PF08220.18
contig_1	2172921	2173361	-	KOIAIB_02201	15.6	10.0		
contig_1	2173343	2174278	-	KOIAIB_02202	33.6	9.0		
contig_1	2197410	2199347	+	KOIAIB_02227	71.3	6.6		
contig_1	2199310	2200269	+	KOIAIB_02228	35.8	5.0	PF13569.11|DUF4132	PFAM:PF13569.11
contig_1	2211726	2212196	-	KOIAIB_02237	18.0	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_1	2277893	2278237	-	KOIAIB_02296	12.5	4.8		
contig_1	2282517	2282801	+	KOIAIB_02300	10.7	9.6	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_1	2317027	2319876	-	KOIAIB_02342	106.5	6.0	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_1	2329798	2330283	-	KOIAIB_02351	18.0	5.1	PF17973.7|bMG10	PFAM:PF17973.7
contig_1	2330299	2334192	-	KOIAIB_02352	143.7	6.9	PF01835.25|MG2, PF07703.20|A2M_BRD, PF17789.7|MG4	PFAM:PF01835.25, PFAM:PF07703.20, PFAM:PF17789.7
contig_1	2357816	2358001	+	KOIAIB_02370	6.9	5.2		
contig_1	2380722	2381027	-	KOIAIB_02393	11.3	5.3	PF05957.18|DUF883	PFAM:PF05957.18
contig_1	2405335	2405499	+	KOIAIB_02416	6.5	9.4		SO:0001217, UniRef:UniRef50_A0A8B6WVV8
contig_1	2452356	2453252	-	KOIAIB_02465	31.6	4.6	PF13953.12|PapC_C	PFAM:PF13953.12
contig_1	2460650	2460934	-	KOIAIB_02471	10.3	4.3		
contig_1	2470803	2471105	+	KOIAIB_02480	11.0	4.4		
contig_1	2471544	2472146	-	KOIAIB_02482	21.4	5.1	PF21882.2|Gp53-like_C	PFAM:PF21882.2
contig_1	2472112	2472387	-	KOIAIB_02483	10.3	4.8		
contig_1	2472387	2472881	-	KOIAIB_02484	18.8	9.8		SO:0001217, UniRef:UniRef50_A0AAX0LVX8
contig_1	2472878	2473246	-	KOIAIB_02485	14.4	7.6		
contig_1	2501990	2504485	-	KOIAIB_02511	92.1	5.2	PF00359.27|PTS_EIIA_2, PF00381.24|PTS-HPr, PF00391.29|PEP-utilizers, PF02896.24|PEP-utilizers_C	PFAM:PF00359.27, PFAM:PF00381.24, PFAM:PF00391.29, PFAM:PF02896.24
contig_1	2511001	2511327	+	KOIAIB_02518	13.3	10.1		
contig_1	2515466	2515606	+	KOIAIB_02522	5.3	12.0		
contig_1	2561371	2561613	+	KOIAIB_02574	9.1	6.7		
contig_1	2563592	2563969	+	KOIAIB_02578	13.8	4.9		
contig_1	2563980	2564372	+	KOIAIB_02579	14.6	6.1		
contig_1	2592762	2592962	+	KOIAIB_02605	8.1	8.0		
contig_1	2597690	2597920	+	KOIAIB_02612	8.8	9.1		SO:0001217, UniRef:UniRef50_A0A0E2LHC7
contig_1	2629308	2629481	+	KOIAIB_02641	6.9	11.9		
contig_1	2724179	2724451	+	KOIAIB_02733	9.9	5.8		
contig_1	2771840	2772154	-	KOIAIB_02783	11.8	6.0		
contig_1	2772836	2773036	-	KOIAIB_02785	7.0	4.4		
contig_1	2784529	2785011	-	KOIAIB_02794	18.0	6.4		SO:0001217, UniRef:UniRef50_A0A3P5DV09
contig_1	2786397	2786729	+	KOIAIB_02796	12.4	7.7		
contig_1	2786748	2787434	+	KOIAIB_02797	25.8	5.3		
contig_1	2787447	2788238	+	KOIAIB_02798	30.5	7.8		
contig_1	2796870	2797028	-	KOIAIB_02806	5.9	10.0		
contig_1	2856883	2857017	-	KOIAIB_02875	4.9	6.0		
contig_1	2880374	2881048	-	KOIAIB_02900	25.2	7.0		
contig_1	2881051	2882142	-	KOIAIB_02901	40.0	5.9		
contig_1	2905711	2906583	+	KOIAIB_02922	32.2	6.9	PF04536.20|TPM_phosphatase	PFAM:PF04536.20
contig_1	2988250	2988381	-	KOIAIB_02997	5.2	9.7		
contig_1	2989819	2989959	-	KOIAIB_03000	5.6	5.0		
contig_1	2989935	2990360	-	KOIAIB_03001	16.3	9.0		
contig_1	2990554	2991000	+	KOIAIB_03002	16.9	8.9		
contig_1	2994460	2994903	-	KOIAIB_03007	16.6	9.1	PF00196.25|GerE, PF08281.18|Sigma70_r4_2	PFAM:PF00196.25, PFAM:PF08281.18
contig_1	3038112	3038822	-	KOIAIB_03044	25.6	6.3	PF01323.26|DSBA, PF10411.14|DsbC_N, PF13098.12|Thioredoxin_2	PFAM:PF01323.26, PFAM:PF10411.14, PFAM:PF13098.12
contig_1	3089797	3090252	+	KOIAIB_03094	17.8	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_1	3111128	3111970	-	KOIAIB_03120	31.3	9.1	PF12693.12|GspL_C	PFAM:PF12693.12
contig_1	3146856	3147266	-	KOIAIB_03152	15.1	5.9	PF00326.27|Peptidase_S9, PF01738.24|DLH, PF08840.17|BAAT_C	PFAM:PF00326.27, PFAM:PF01738.24, PFAM:PF08840.17
contig_1	3147266	3147619	-	KOIAIB_03153	12.6	5.3	PF01738.24|DLH	PFAM:PF01738.24
contig_1	3147597	3147740	-	KOIAIB_03154	5.5	7.9		
contig_1	3280701	3281102	+	KOIAIB_03288	13.7	6.2		
contig_1	3281170	3281625	+	KOIAIB_03289	15.7	6.4	PF01979.26|Amidohydro_1	PFAM:PF01979.26
contig_1	3286324	3287025	+	KOIAIB_03295	25.9	5.6	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
contig_1	3334909	3335187	+	KOIAIB_03345	10.5	9.9	PF13693.12|HTH_35	PFAM:PF13693.12
contig_1	3365185	3365664	+	KOIAIB_03375	17.1	9.0		
contig_1	3366684	3366929	+	KOIAIB_03377	9.0	4.3		
contig_1	3366926	3367642	+	KOIAIB_03378	24.9	8.5		
contig_1	3385538	3385801	+	KOIAIB_03397	9.2	5.7	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	3417994	3418284	-	KOIAIB_03427	11.0	9.1		SO:0001217, UniRef:UniRef50_J7QA02
contig_1	3419042	3419278	+	KOIAIB_03429	8.6	10.7		
contig_1	3462924	3463907	+	KOIAIB_03495	37.6	5.6	PF03934.19|T2SSK, PF21687.3|T2SSK_1st	PFAM:PF03934.19, PFAM:PF21687.3
contig_1	3559848	3560354	-	KOIAIB_03585	18.4	5.1	PF00455.28|DeoRC	PFAM:PF00455.28
contig_1	3563724	3564005	-	KOIAIB_03589	10.1	7.8		
contig_1	3583038	3583454	+	KOIAIB_03605	16.0	4.4		
contig_1	3632852	3633223	-	KOIAIB_03653	14.2	7.8	PF13258.11|DUF4049	PFAM:PF13258.11
contig_1	3651291	3652073	+	KOIAIB_03672	29.4	5.0		
contig_1	3658894	3659172	-	KOIAIB_03681	9.8	9.8		SO:0001217, UniRef:UniRef50_A0A2S8JRI1
contig_1	3754542	3754754	+	KOIAIB_03767	8.0	8.7		SO:0001217, UniRef:UniRef50_A0A0H3PXU3
contig_1	3767227	3767922	+	KOIAIB_03775	26.2	5.0	PF03527.20|RHS	PFAM:PF03527.20
contig_1	3786838	3788097	+	KOIAIB_03794	46.6	9.9	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_1	3850802	3851092	-	KOIAIB_03852	11.1	5.7	PF01842.31|ACT, PF13710.12|ACT_5, PF22629.2|ACT_AHAS_ss	PFAM:PF01842.31, PFAM:PF13710.12, PFAM:PF22629.2
contig_1	3856415	3856864	+	KOIAIB_03860	15.7	9.1		
contig_1	3861173	3861349	-	KOIAIB_03864	6.6	5.6	PF11975.13|Glyco_hydro_4C	PFAM:PF11975.13
contig_1	3861987	3862472	-	KOIAIB_03866	17.6	5.9	PF00367.25|PTS_EIIB	PFAM:PF00367.25
contig_1	3867800	3868060	+	KOIAIB_03872	9.3	5.2		
contig_1	3960242	3960460	-	KOIAIB_03963	7.9	7.8		
contig_1	3967686	3967904	+	KOIAIB_03969	8.3	9.3		SO:0001217, UniRef:UniRef50_J7R805
contig_1	4046722	4046907	-	KOIAIB_04053	7.2	9.9		
contig_1	4051347	4051856	+	KOIAIB_04058	19.1	6.4		
contig_1	4078849	4078956	+	KOIAIB_04085	4.0	9.8		
contig_1	4093124	4093438	-	KOIAIB_04098	12.3	5.3	PF05336.19|rhaM	PFAM:PF05336.19
contig_1	4107317	4107421	-	KOIAIB_04117	3.8	4.1		
contig_1	4192637	4192837	-	KOIAIB_04198	7.3	4.4	PF02597.26|ThiS	PFAM:PF02597.26
contig_1	4213234	4213617	+	KOIAIB_04219	14.4	9.2		
contig_1	4220301	4222487	-	KOIAIB_04226	82.6	8.4	PF12796.13|Ank_2	PFAM:PF12796.13
contig_1	4235906	4236148	+	KOIAIB_04237	7.4	5.8		
contig_1	4250449	4250601	-	KOIAIB_04252	5.4	5.6		SO:0001217, UniRef:UniRef50_A0A376RST0
contig_1	4262840	4263082	+	KOIAIB_04266	9.0	10.2		
contig_1	4313868	4314197	+	KOIAIB_04316	13.5	4.8		
contig_1	4322443	4322811	-	KOIAIB_04328	13.3	6.7		
contig_1	4325298	4325741	-	KOIAIB_04332	16.2	5.0	PF00903.31|Glyoxalase	PFAM:PF00903.31
contig_1	4400288	4400596	+	KOIAIB_04409	11.2	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_1	4496527	4496721	+	KOIAIB_04509	6.9	4.5		
contig_1	4499677	4499919	-	KOIAIB_04513	8.7	5.8		
contig_1	4500043	4500474	-	KOIAIB_04514	15.7	5.2		
contig_1	4500432	4500791	-	KOIAIB_04515	14.0	10.8		
contig_1	4506448	4506573	+	KOIAIB_04519	4.8	9.2		
contig_1	4535015	4536031	+	KOIAIB_04550	38.0	6.6	PF13087.12|AAA_12, PF13091.12|PLDc_2	PFAM:PF13087.12, PFAM:PF13091.12, SO:0001217, UniRef:UniRef50_A0A3F3NZU4
contig_1	4556574	4556675	+	KOIAIB_04568	3.9	8.2		
contig_1	4572414	4573931	+	KOIAIB_04587	56.7	6.0		
contig_1	4574135	4576855	+	KOIAIB_04588	103.4	5.8		
