# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	32657	32947	+	OBDLAM_00038	-	-	-	-	-	-
contig_1	cds	33023	33613	+	OBDLAM_00039	377.0	2.8e-133	1.0	0.879	0.969	UniRef:UniRef50_P27667
contig_1	cds	33613	35115	+	OBDLAM_00040	629.0	3.2e-223	0.986	0.955	0.645	UniRef:UniRef50_P09835
contig_1	cds	35125	36444	+	OBDLAM_00041	803.0	3.3e-293	1.0	0.889	0.886	UniRef:UniRef50_P09836
contig_1	cds	36582	37973	+	OBDLAM_00042	870.0	0.0	0.998	0.931	0.957	UniRef:UniRef50_P0AGC0
contig_1	cds	38019	39785	-	OBDLAM_00043	1139.0	0.0	1.051	1.0	0.942	UniRef:UniRef50_P31441
contig_1	cds	39960	41294	+	OBDLAM_00044	704.0	1.4e-254	1.0	0.972	0.847	UniRef:UniRef50_A0A377BTG2
contig_1	cds	41347	41799	+	OBDLAM_00045	179.0	6.8e-57	0.933	0.881	0.636	UniRef:UniRef50_A0A8B6IWN8
contig_1	cds	41962	43200	+	OBDLAM_00046	395.0	9.3e-134	0.917	0.883	0.553	UniRef:UniRef50_A0A806XAI6
contig_1	cds	43241	43534	-	OBDLAM_00047	136.0	2.1e-41	1.031	1.0	0.650	UniRef:UniRef50_Q7CPG1
contig_1	cds	43756	43941	+	OBDLAM_00048	-	-	-	-	-	-
contig_1	cds	43935	44312	-	OBDLAM_00049	238.0	8.4e-81	0.984	0.837	0.943	UniRef:UniRef50_A0A899NDL5
contig_1	cds	44384	44599	+	OBDLAM_00050	121.0	2.5e-36	1.0	0.887	0.831	UniRef:UniRef50_B0LHG4
contig_1	cds	44953	46137	+	OBDLAM_00051	529.0	8.1e-187	0.977	0.919	0.704	UniRef:UniRef50_P33027
contig_1	cds	46248	47171	+	OBDLAM_00052	498.0	1.5e-177	0.971	0.937	0.899	UniRef:UniRef50_O33787
contig_1	cds	47175	47837	-	OBDLAM_00053	382.0	1.1e-134	0.886	0.874	0.985	UniRef:UniRef50_A0A376FFL3
contig_1	cds	47927	48142	-	OBDLAM_00054	121.0	2.5e-36	1.0	0.887	0.831	UniRef:UniRef50_B0LHG4
contig_1	cds	48214	48591	+	OBDLAM_00055	238.0	8.4e-81	0.984	0.837	0.943	UniRef:UniRef50_A0A899NDL5
contig_1	tRNA	48987	49081	-	OBDLAM_00056	142.5	-	-	-	-	-
contig_1	cds	49374	50756	+	OBDLAM_00057	784.0	4.0e-284	1.246	1.0	0.731	UniRef:UniRef50_P31435
contig_1	cds	50766	53084	+	OBDLAM_00058	897.0	0.0	0.942	0.904	0.575	UniRef:UniRef50_A0A7X7STN3
contig_1	cds	53137	54846	-	OBDLAM_00059	956.0	0.0	0.995	0.991	0.830	UniRef:UniRef50_A0A212IQ57
contig_1	cds	54967	56358	-	OBDLAM_00060	739.0	9.3e-268	0.959	0.945	0.863	UniRef:UniRef50_G1VFK0
contig_1	cds	56638	57843	+	OBDLAM_00061	474.0	3.1e-165	1.015	0.964	0.639	UniRef:UniRef50_A0A376VD50
contig_1	cds	58009	60090	-	OBDLAM_00062	1332.0	0.0	1.0	0.881	0.990	UniRef:UniRef50_P24230
contig_1	cds	60096	60785	-	OBDLAM_00063	401.0	8.0e-142	1.0	0.939	0.900	UniRef:UniRef50_Q6DB63
contig_1	cds	60792	62900	-	OBDLAM_00064	1181.0	0.0	1.001	0.968	0.856	UniRef:UniRef50_Q9KNM2
contig_1	cds	62919	63194	-	OBDLAM_00065	92.4	4.6e-24	0.956	0.813	0.552	UniRef:UniRef50_A0A2D4TDH0
contig_1	cds	63249	63872	-	OBDLAM_00066	355.0	4.2e-124	0.995	0.817	0.883	UniRef:UniRef50_Q8ZJQ2
contig_1	cds	64130	65812	+	OBDLAM_00067	712.0	6.5e-254	0.991	0.975	0.593	UniRef:UniRef50_A4W502
contig_1	cds	65809	66426	-	OBDLAM_00068	348.0	8.2e-122	1.0	1.0	0.849	UniRef:UniRef50_A0A088QDU6
contig_1	cds	66718	67542	-	OBDLAM_00069	301.0	9.2e-101	0.956	0.859	0.580	UniRef:UniRef50_A0A7X7BME0
contig_1	cds	67764	68627	-	OBDLAM_00070	362.0	8.6e-124	1.003	0.811	0.649	UniRef:UniRef50_P23839
contig_1	cds	68754	69470	+	OBDLAM_00071	273.0	5.3e-91	0.975	0.875	0.616	UniRef:UniRef50_R9M712
contig_1	cds	69535	70176	+	OBDLAM_00072	304.0	1.4e-103	1.0	0.807	0.690	UniRef:UniRef50_P50587
contig_1	cds	70213	70809	-	OBDLAM_00073	300.0	2.3e-102	1.0	0.825	0.798	UniRef:UniRef50_P0C093
contig_1	cds	70916	71374	-	OBDLAM_00074	255.0	2.4e-86	0.987	0.815	0.787	UniRef:UniRef50_Q5ZSN0
contig_1	cds	71352	72572	-	OBDLAM_00075	551.0	1.6e-194	0.995	0.845	0.703	UniRef:UniRef50_A0A084A2C7
contig_1	cds	72744	73412	+	OBDLAM_00076	275.0	1.2e-92	0.982	0.978	0.633	UniRef:UniRef50_I2BEI5
contig_1	cds	73629	73865	+	OBDLAM_00077	101.0	2.6e-28	0.987	1.0	0.623	UniRef:UniRef50_Q491X0
contig_1	cds	73886	74053	+	OBDLAM_00078	58.2	1.0e-11	0.891	0.860	0.571	UniRef:UniRef50_A0A5P9IIW8
contig_1	cds	74151	74960	+	OBDLAM_00079	340.0	4.6e-116	0.996	0.887	0.593	UniRef:UniRef50_Q65R59
contig_1	cds	74999	75478	-	OBDLAM_00080	317.0	1.9e-110	1.0	0.820	1.0	UniRef:UniRef50_P0A6I6
contig_1	cds	75486	76763	-	OBDLAM_00081	683.0	1.2e-246	0.991	0.913	0.803	UniRef:UniRef50_A0A084A2C0
contig_1	ncRNA-region	77084	77122	+	-	53.2	4.9e-11	-	-	-	RFAM:RF01707
contig_1	cds	77170	78240	+	OBDLAM_00082	479.0	1.1e-168	0.963	0.940	0.673	UniRef:UniRef50_P25742
contig_1	cds	78237	79361	+	OBDLAM_00083	482.0	2.5e-169	0.995	0.974	0.610	UniRef:UniRef50_O68209
contig_1	cds	79354	80151	+	OBDLAM_00084	430.0	2.4e-152	0.898	0.878	0.857	UniRef:UniRef50_A0A377DB85
contig_1	cds	80184	81164	+	OBDLAM_00085	652.0	4.9e-238	0.997	0.942	0.978	UniRef:UniRef50_A0A7D8ELF4
contig_1	cds	81178	82257	+	OBDLAM_00086	477.0	1.8e-167	0.922	0.869	0.662	UniRef:UniRef50_P27127
contig_1	cds	82257	83276	+	OBDLAM_00087	374.0	2.2e-127	0.991	0.928	0.521	UniRef:UniRef50_A0A085FZ91
contig_1	cds	83440	84456	+	OBDLAM_00088	553.0	5.5e-198	0.956	0.832	0.851	UniRef:UniRef50_P27129
contig_1	cds	84474	85172	+	OBDLAM_00089	427.0	2.0e-151	0.987	0.821	0.956	UniRef:UniRef50_P27240
contig_1	cds	85244	86053	+	OBDLAM_00090	478.0	1.1e-170	0.985	0.849	0.872	UniRef:UniRef50_P27241
contig_1	cds	86106	87248	+	OBDLAM_00091	570.0	9.1e-204	0.989	0.962	0.734	UniRef:UniRef50_P26470
contig_1	cds	87302	88519	-	OBDLAM_00092	786.0	2.1e-288	1.0	0.955	1.0	UniRef:UniRef50_P26471
contig_1	cds	88558	89514	-	OBDLAM_00093	516.0	2.7e-184	0.937	0.871	0.836	UniRef:UniRef50_P0DX54
contig_1	cds	89518	90564	-	OBDLAM_00094	677.0	1.1e-246	1.144	1.0	0.864	UniRef:UniRef50_P37692
contig_1	cds	90644	91624	-	OBDLAM_00095	611.0	3.9e-221	0.948	0.809	0.968	UniRef:UniRef50_P67910
contig_1	cds	91838	93034	+	OBDLAM_00096	535.0	9.3e-190	0.977	0.992	0.689	UniRef:UniRef50_A0A947FSC3
contig_1	cds	93044	94069	+	OBDLAM_00097	561.0	8.3e-203	0.827	0.996	0.979	UniRef:UniRef50_A0A2X2T2A0
contig_1	cds	94308	95342	+	OBDLAM_00098	471.0	9.2e-166	0.956	0.914	0.678	UniRef:UniRef50_P11290
contig_1	cds	95329	96288	-	OBDLAM_00099	365.0	9.6e-125	0.972	0.920	0.632	UniRef:UniRef50_A0A380PW27
contig_1	cds	96292	97551	-	OBDLAM_00100	-	-	-	-	-	-
contig_1	cds	97585	99129	-	OBDLAM_00101	955.0	0.0	1.0	0.873	0.938	UniRef:UniRef50_P37689
contig_1	cds	99374	99805	+	OBDLAM_00102	189.0	7.3e-61	0.993	0.979	0.676	UniRef:UniRef50_A0A6L6FAE8
contig_1	cds	99947	100198	+	OBDLAM_00103	95.5	1.5e-25	0.952	0.832	0.582	UniRef:UniRef50_A0A2X3DLN4
contig_1	cds	100261	100728	+	OBDLAM_00104	273.0	1.1e-93	0.955	0.943	0.878	UniRef:UniRef50_B2VL52
contig_1	cds	100728	101747	+	OBDLAM_00105	598.0	3.8e-215	0.982	0.814	0.928	UniRef:UniRef50_P0A6S7
contig_1	cds	101827	102648	+	OBDLAM_00106	462.0	3.6e-164	1.0	0.867	0.846	UniRef:UniRef50_P0A9D4
contig_1	cds	102701	103174	-	OBDLAM_00107	253.0	4.8e-86	1.0	1.075	0.815	UniRef:UniRef50_A0A7G2IVK6
contig_1	cds	103372	104562	-	OBDLAM_00108	640.0	1.9e-230	0.947	0.856	0.848	UniRef:UniRef50_P33232
contig_1	cds	104559	105335	-	OBDLAM_00109	502.0	1.1e-180	0.992	0.889	1.0	UniRef:UniRef50_P0ACL7
contig_1	cds	105335	106990	-	OBDLAM_00110	674.0	4.0e-238	1.045	0.917	0.634	UniRef:UniRef50_P33231
contig_1	cds	107362	107724	-	OBDLAM_00111	150.0	5.1e-46	1.0	0.889	0.717	UniRef:UniRef50_P0ADK8
contig_1	cds	108009	108218	+	OBDLAM_00112	108.0	2.7e-31	0.971	0.957	0.761	UniRef:UniRef50_A9MLC7
contig_1	cds	108230	108817	-	OBDLAM_00113	-	-	-	-	-	-
contig_1	cds	108817	109965	-	OBDLAM_00114	659.0	5.5e-239	1.029	0.995	0.878	UniRef:UniRef50_Q8Z9X0
contig_1	cds	110195	112108	-	OBDLAM_00115	993.0	0.0	1.115	0.994	0.749	UniRef:UniRef50_P00550
contig_1	cds	112645	113007	+	OBDLAM_00116	118.0	1.1e-33	0.867	0.920	0.548	UniRef:UniRef50_A0AAQ1K754
contig_1	cds	113010	114146	+	OBDLAM_00117	638.0	4.6e-230	1.0	0.892	0.849	UniRef:UniRef50_P37683
contig_1	cds	115751	116212	-	OBDLAM_00118	279.0	4.9e-96	0.967	0.841	0.966	UniRef:UniRef50_P32106
contig_1	cds	116224	117162	-	OBDLAM_00119	645.0	1.2e-234	1.0	0.817	0.981	UniRef:UniRef50_P32109
contig_1	cds	117210	118052	-	OBDLAM_00120	545.0	3.8e-197	1.0	0.924	0.996	UniRef:UniRef50_W1F234
contig_1	cds	118073	122206	-	OBDLAM_00121	2232.0	0.0	0.906	0.891	0.947	UniRef:UniRef50_UPI000F9B019F
contig_1	cds	122434	123042	+	OBDLAM_00122	353.0	9.4e-124	1.0	0.874	0.876	UniRef:UniRef50_P0ACA1
contig_1	cds	123140	124531	+	OBDLAM_00123	668.0	3.4e-239	1.0	0.899	0.782	UniRef:UniRef50_P0A821
contig_1	cds	124528	126372	+	OBDLAM_00124	711.0	3.8e-251	1.085	0.991	0.568	UniRef:UniRef50_K8WL70
contig_1	cds	126562	127713	+	OBDLAM_00125	572.0	1.7e-205	0.825	0.938	0.927	UniRef:UniRef50_A0A2K4WQU9
contig_1	cds	127878	129416	+	OBDLAM_00126	604.0	1.2e-212	0.982	0.935	0.579	UniRef:UniRef50_Q9FDS1
contig_1	cds	129635	129847	-	OBDLAM_00127	99.8	8.4e-28	0.929	0.970	0.831	UniRef:UniRef50_A0A0H3PXU3
contig_1	cds	129961	130284	+	OBDLAM_00128	114.0	1.6e-32	0.981	0.929	0.543	UniRef:UniRef50_A0AAQ1K754
contig_1	cds	130290	131426	+	OBDLAM_00129	558.0	1.5e-198	1.0	0.892	0.767	UniRef:UniRef50_P37683
contig_1	cds	131423	132397	-	OBDLAM_00130	637.0	9.1e-232	0.988	0.872	1.0	UniRef:UniRef50_P37682
contig_1	cds	132521	133261	+	OBDLAM_00131	492.0	5.4e-177	1.0	0.863	0.996	UniRef:UniRef50_P37681
contig_1	cds	133608	134303	-	OBDLAM_00132	363.0	2.1e-126	1.0	0.843	0.762	UniRef:UniRef50_P08203
contig_1	cds	134297	135157	-	OBDLAM_00133	394.0	6.1e-137	0.986	0.855	0.663	UniRef:UniRef50_P37679
contig_1	cds	135150	135812	-	OBDLAM_00134	394.0	1.2e-139	0.982	0.952	0.907	UniRef:UniRef50_P37678
contig_1	cds	135809	137305	-	OBDLAM_00135	668.0	5.0e-238	0.976	0.895	0.660	UniRef:UniRef50_P44991
contig_1	cds	137309	138295	-	OBDLAM_00136	598.0	8.0e-217	0.942	0.922	1.0	UniRef:UniRef50_P37676
contig_1	cds	138308	139585	-	OBDLAM_00137	444.0	2.3e-152	1.007	0.960	0.551	UniRef:UniRef50_A0A068TB37
contig_1	cds	139588	140061	-	OBDLAM_00138	263.0	2.4e-90	0.847	1.0	0.992	UniRef:UniRef50_A0A376NYG4
contig_1	cds	140179	140646	-	OBDLAM_00139	257.0	2.9e-87	1.0	0.917	0.781	UniRef:UniRef50_A0A0F5F162
contig_1	cds	140658	141656	-	OBDLAM_00140	600.0	9.6e-217	1.0	0.912	0.880	UniRef:UniRef50_P37672
contig_1	cds	141857	142705	+	OBDLAM_00141	378.0	1.1e-130	0.904	0.810	0.741	UniRef:UniRef50_P37671
contig_1	cds	142807	143280	+	OBDLAM_00142	202.0	1.7e-65	1.032	0.862	0.617	UniRef:UniRef50_A0A3P2EL24
contig_1	ncRNA	143362	143404	+	OBDLAM_00143	46.3	5.0e-06	-	-	-	RFAM:RF02751
contig_1	cds	143431	144684	-	OBDLAM_00144	808.0	8.7e-296	0.995	0.863	0.942	UniRef:UniRef50_P09053
contig_1	cds	144862	146892	-	OBDLAM_00145	1340.0	0.0	1.0	0.916	0.938	UniRef:UniRef50_P25718
contig_1	cds	147212	148036	+	OBDLAM_00146	445.0	2.0e-157	1.0	0.893	0.869	UniRef:UniRef50_P27297
contig_1	cds	148232	149410	-	OBDLAM_00147	779.0	6.3e-286	1.0	0.951	1.0	UniRef:UniRef50_P0ACI3
contig_1	cds	149488	150669	-	OBDLAM_00148	710.0	5.6e-258	1.127	1.0	0.885	UniRef:UniRef50_P0AGI4
contig_1	cds	150647	152188	-	OBDLAM_00149	554.0	1.2e-192	0.979	0.884	0.564	UniRef:UniRef50_P45046
contig_1	cds	152266	153258	-	OBDLAM_00150	403.0	6.1e-139	0.930	0.806	0.668	UniRef:UniRef50_B2JFE8
contig_1	cds	153624	154946	+	OBDLAM_00151	640.0	2.2e-228	0.989	0.850	0.690	UniRef:UniRef50_P00944
contig_1	cds	155018	156472	+	OBDLAM_00152	581.0	2.9e-204	1.0	0.910	0.599	UniRef:UniRef50_P09099
contig_1	cds	156641	156982	+	OBDLAM_00153	192.0	2.2e-63	0.867	0.883	0.980	UniRef:UniRef50_A0A2Y0P7Z4
contig_1	cds	157028	157465	+	OBDLAM_00154	243.0	2.6e-82	1.0	1.0	0.841	UniRef:UniRef50_A0A1A8XTY7
contig_1	cds	157507	158502	-	OBDLAM_00155	450.0	2.2e-157	1.0	0.860	0.674	UniRef:UniRef50_P37669
contig_1	cds	158677	158976	+	OBDLAM_00156	122.0	1.1e-35	0.949	0.904	0.681	UniRef:UniRef50_Q8ZL94
contig_1	cds	159071	159982	+	OBDLAM_00157	609.0	1.1e-220	1.0	0.804	0.960	UniRef:UniRef50_P00960
contig_1	cds	159992	162061	+	OBDLAM_00158	1174.0	0.0	1.075	1.0	0.833	UniRef:UniRef50_P00961
contig_1	ncRNA	162235	162374	+	OBDLAM_00159	69.7	9.7e-11	-	-	-	RFAM:RF01794
contig_1	cds	162340	163191	-	OBDLAM_00160	541.0	6.5e-195	1.0	0.871	0.943	UniRef:UniRef50_P19769
contig_1	cds	163188	163709	-	OBDLAM_00161	321.0	6.9e-112	0.960	0.818	0.994	UniRef:UniRef50_A0A0H2V168
contig_1	cds	163789	163941	+	OBDLAM_00162	91.3	5.9e-25	0.960	0.889	0.938	UniRef:UniRef50_Q328L8
contig_1	ncRNA-region	164073	164500	-	-	500.9	4.5e-54	-	-	-	RFAM:RF01766
contig_1	cds	164128	164340	-	OBDLAM_00163	118.0	4.6e-35	1.0	0.824	0.771	UniRef:UniRef50_A7ME79
contig_1	cds	164621	164911	-	OBDLAM_00164	141.0	2.0e-43	1.0	0.873	0.760	UniRef:UniRef50_A0A0U5L8Z4
contig_1	cds	165345	166055	+	OBDLAM_00165	413.0	5.3e-146	1.0	0.840	0.890	UniRef:UniRef50_P0ADK0
contig_1	cds	166105	167079	-	OBDLAM_00166	422.0	4.6e-147	1.0	0.976	0.639	UniRef:UniRef50_B4F0A9
contig_1	cds	167183	167842	-	OBDLAM_00167	375.0	7.0e-132	0.982	0.903	0.967	UniRef:UniRef50_P37665
contig_1	cds	167995	170328	+	OBDLAM_00168	1556.0	0.0	1.104	1.0	0.895	UniRef:UniRef50_P20099
contig_1	cds	170297	170737	-	OBDLAM_00169	221.0	6.2e-73	0.993	0.801	0.710	UniRef:UniRef50_P37664
contig_1	cds	170734	171297	-	OBDLAM_00170	230.0	1.3e-75	0.995	0.877	0.570	UniRef:UniRef50_A0A0P8C1D0
contig_1	cds	171455	172153	+	OBDLAM_00171	457.0	5.1e-164	0.987	0.902	0.983	UniRef:UniRef50_P37663
contig_1	cds	172382	173590	+	OBDLAM_00172	637.0	2.4e-230	0.846	0.966	1.0	UniRef:UniRef50_A0A377BUR8
contig_1	cds	173914	175605	+	OBDLAM_00173	769.0	3.4e-276	0.998	0.954	0.657	UniRef:UniRef50_P37661
contig_1	tRNA	175697	175773	+	OBDLAM_00174	76.0	-	-	-	-	-
contig_1	ncRNA-region	175808	175941	+	-	101.4	2.8e-15	-	-	-	RFAM:RF00391
contig_1	ncRNA	176035	176114	-	OBDLAM_00175	69.0	6.1e-10	-	-	-	RFAM:RF02564
contig_1	cds	176684	178291	+	OBDLAM_00176	926.0	0.0	0.991	0.904	0.842	UniRef:UniRef50_P33950
contig_1	ncRNA	178350	178392	-	OBDLAM_00177	56.8	5.1e-08	-	-	-	RFAM:RF02751
contig_1	cds	178599	179618	+	OBDLAM_00178	658.0	1.7e-239	1.0	0.890	1.0	UniRef:UniRef50_P0AEF8
contig_1	cds	179628	180530	+	OBDLAM_00179	524.0	1.7e-187	0.990	0.823	0.997	UniRef:UniRef50_P0AEG1
contig_1	cds	180541	181524	+	OBDLAM_00180	431.0	8.1e-151	0.972	0.988	0.686	UniRef:UniRef50_A0A2X3JYC5
contig_1	cds	181521	182525	+	OBDLAM_00181	619.0	3.4e-224	0.994	0.869	0.931	UniRef:UniRef50_P37313
contig_1	cds	182555	183826	-	OBDLAM_00182	708.0	1.1e-256	1.021	0.973	0.859	UniRef:UniRef50_P37660
contig_1	ncRNA	184188	184253	-	OBDLAM_00183	87.1	8.2e-18	-	-	-	RFAM:RF01813
contig_1	cds	184302	184409	+	OBDLAM_00184	63.5	2.4e-14	1.0	0.814	0.743	UniRef:UniRef50_A0A234WDZ3
contig_1	cds	184496	186175	-	OBDLAM_00185	1096.0	0.0	1.0	0.899	0.991	UniRef:UniRef50_P37659
contig_1	cds	186172	186363	-	OBDLAM_00186	62.8	2.6e-13	1.0	0.969	0.540	UniRef:UniRef50_V5TUB6
contig_1	cds	186360	187919	-	OBDLAM_00187	805.0	1.6e-291	0.948	0.893	0.803	UniRef:UniRef50_P37657
contig_1	cds	188204	188392	+	OBDLAM_00188	110.0	4.5e-32	0.887	0.821	1.0	UniRef:UniRef50_A0A3L5GXU2
contig_1	cds	188404	188607	+	OBDLAM_00189	-	-	-	-	-	-
contig_1	cds	188620	189156	+	OBDLAM_00190	353.0	3.2e-124	0.989	0.846	0.989	UniRef:UniRef50_A0A376RCQ1
contig_1	cds	189153	191771	+	OBDLAM_00191	991.0	0.0	0.981	0.966	0.553	UniRef:UniRef50_A0A7U7ERY7
contig_1	cds	191818	194121	+	OBDLAM_00192	1103.0	0.0	0.936	0.832	0.738	UniRef:UniRef50_P37652
contig_1	cds	194128	195150	+	OBDLAM_00193	504.0	8.8e-180	0.865	0.997	0.799	UniRef:UniRef50_A0A3S4FWB5
contig_1	cds	195216	198689	+	OBDLAM_00194	2133.0	0.0	1.085	1.0	0.913	UniRef:UniRef50_P37650
contig_1	cds	198810	200759	+	OBDLAM_00195	982.0	0.0	0.989	0.897	0.782	UniRef:UniRef50_P37649
contig_1	cds	200942	202228	+	OBDLAM_00196	686.0	3.8e-248	0.972	0.967	0.877	UniRef:UniRef50_A0A097R7G0
contig_1	cds	202449	203945	+	OBDLAM_00197	785.0	9.6e-287	0.801	1.0	0.992	UniRef:UniRef50_A0A3S4GGJ1
contig_1	cds	204041	204970	-	OBDLAM_00198	482.0	1.0e-170	0.994	0.867	0.759	UniRef:UniRef50_A0A7K3W7M9
contig_1	cds	205202	205969	+	OBDLAM_00199	285.0	4.4e-95	0.902	0.858	0.565	UniRef:UniRef50_B2VCK9
contig_1	cds	206039	208099	+	OBDLAM_00200	812.0	3.3e-288	1.128	1.004	0.537	UniRef:UniRef50_A0A1Q8T4T2
contig_1	cds	208281	209603	-	OBDLAM_00201	799.0	2.3e-291	1.166	1.0	0.858	UniRef:UniRef50_P37643
contig_1	cds	210014	211027	-	OBDLAM_00202	556.0	8.8e-200	1.009	0.991	0.832	UniRef:UniRef50_P45417
contig_1	cds	211076	212047	-	OBDLAM_00203	574.0	2.1e-207	0.904	0.888	0.997	UniRef:UniRef50_P37641
contig_1	cds	212495	213097	+	OBDLAM_00204	293.0	6.5e-100	1.0	0.873	0.735	UniRef:UniRef50_A9MLK4
contig_1	cds	213148	214797	-	OBDLAM_00205	994.0	0.0	0.951	0.841	0.916	UniRef:UniRef50_P62601
contig_1	cds	215201	216598	+	OBDLAM_00206	781.0	2.6e-284	0.989	0.977	0.804	UniRef:UniRef50_A0A1B7I1Z9
contig_1	cds	216809	218209	+	OBDLAM_00207	915.0	0.0	1.215	0.974	0.811	UniRef:UniRef50_P69910
contig_1	cds	218579	219403	+	OBDLAM_00208	526.0	1.3e-189	0.982	0.915	1.0	UniRef:UniRef50_P37639
contig_1	ncRNA	219415	219528	-	OBDLAM_00209	150.0	1.3e-25	-	-	-	RFAM:RF00122
contig_1	cds	219771	220499	+	OBDLAM_00210	431.0	3.0e-153	0.942	0.880	0.956	UniRef:UniRef50_P63201
