# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	19134	19850	-	OBDLAM_00022	gntR	GntR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A222AKD4
contig_1	cds	20146	21762	+	OBDLAM_00023	glvC	Phosphotransferase IIC component GlvC	SO:0001217, UniRef:UniRef50_P31452
contig_1	cds	21762	22400	+	OBDLAM_00024		Putative inactive 6-phospho-alpha-glucosidase	SO:0001217, UniRef:UniRef50_P31450
contig_1	cds	22400	22576	+	OBDLAM_00025		hypothetical protein	PFAM:PF11975.13
contig_1	cds	22573	23466	-	OBDLAM_00026	yidL	Uncharacterized HTH-type transcriptional regulator YidL	SO:0001217, UniRef:UniRef50_P31449
contig_1	cds	23633	25348	+	OBDLAM_00027	yidK	Uncharacterized symporter YidK	SO:0001217, UniRef:UniRef50_P31448
contig_1	cds	25345	26838	+	OBDLAM_00028	yidJ	Uncharacterized sulfatase YidJ	SO:0001217, UniRef:UniRef50_P31447
contig_1	cds	26885	27334	-	OBDLAM_00029		hypothetical protein	
contig_1	cds	27442	27789	+	OBDLAM_00030		DUF202 domain-containing protein	SO:0001217, UniRef:UniRef50_H5V1T0
contig_1	cds	27779	28141	+	OBDLAM_00031		DUF202 domain-containing protein	SO:0001217, UniRef:UniRef50_Q329D7
contig_1	cds	28138	28635	+	OBDLAM_00032		Sulfur metabolism regulator	SO:0001217, UniRef:UniRef50_B7LK21
contig_1	cds	28643	29827	-	OBDLAM_00033	emrD	multidrug efflux MFS transporter EmrD	BlastRules:WP_000828740, BlastRules:WP_000828746, BlastRules:WP_115740452, NCBIProtein:BAE77620.1, SO:0001217, UniRef:UniRef50_D2U3C7
contig_1	cds	30107	30196	-	OBDLAM_00034	tisB	Small toxic protein TisB	SO:0001217, UniRef:UniRef50_A5A627
contig_1	ncRNA	30502	30631	+	OBDLAM_00035	istR	istR Hfq binding RNA	RFAM:RF01400, SO:0000655
contig_1	cds	30761	30859	+	OBDLAM_00036		ilv operon leader peptide	SO:0001217, UniRef:UniRef50_P03061
contig_1	cds	30965	32653	+	OBDLAM_00037		Acetolactate synthase	SO:0001217, UniRef:UniRef50_A0A4U9D5U1
contig_1	cds	32657	32947	+	OBDLAM_00038		hypothetical protein	PFAM:PF01842.31, PFAM:PF13710.12, PFAM:PF22629.2
contig_1	cds	33023	33613	+	OBDLAM_00039	uhpA	Transcriptional regulatory protein UhpA	SO:0001217, UniRef:UniRef50_P27667
contig_1	cds	33613	35115	+	OBDLAM_00040	uhpB	Signal transduction histidine-protein kinase/phosphatase UhpB	SO:0001217, UniRef:UniRef50_P09835
contig_1	cds	35125	36444	+	OBDLAM_00041	uhpC	MFS transporter family glucose-6-phosphate receptor UhpC	BlastRules:WP_000936566, SO:0001217, UniRef:UniRef50_P09836
contig_1	cds	36582	37973	+	OBDLAM_00042		Hexose-6-phosphate:phosphate antiporter	SO:0001217, UniRef:UniRef50_P0AGC0
contig_1	cds	38019	39785	-	OBDLAM_00043		Adenine deaminase	SO:0001217, UniRef:UniRef50_P31441
contig_1	cds	39960	41294	+	OBDLAM_00044	adeQ	adenine permease AdeQ	BlastRules:WP_001403836, SO:0001217, UniRef:UniRef50_A0A377BTG2
contig_1	cds	41347	41799	+	OBDLAM_00045		DUF1198 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A8B6IWN8
contig_1	cds	41962	43200	+	OBDLAM_00046	nepI	Purine ribonucleoside efflux pump NepI	SO:0001217, UniRef:UniRef50_A0A806XAI6
contig_1	cds	43241	43534	-	OBDLAM_00047	yicS	Uncharacterized protein YicS	SO:0001217, UniRef:UniRef50_Q7CPG1
contig_1	cds	43756	43941	+	OBDLAM_00048		hypothetical protein	
contig_1	cds	43935	44312	-	OBDLAM_00049		IS1 transposase	SO:0001217, UniRef:UniRef50_A0A899NDL5
contig_1	cds	44384	44599	+	OBDLAM_00050	insB	InsB	SO:0001217, UniRef:UniRef50_B0LHG4
contig_1	cds	44953	46137	+	OBDLAM_00051		Sugar efflux transporter B	SO:0001217, UniRef:UniRef50_P33027
contig_1	cds	46248	47171	+	OBDLAM_00052	yicL	Uncharacterized inner membrane transporter YicL	SO:0001217, UniRef:UniRef50_O33787
contig_1	cds	47175	47837	-	OBDLAM_00053		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A376FFL3
contig_1	cds	47927	48142	-	OBDLAM_00054	insB	InsB	SO:0001217, UniRef:UniRef50_B0LHG4
contig_1	cds	48214	48591	+	OBDLAM_00055		IS1 transposase	SO:0001217, UniRef:UniRef50_A0A899NDL5
contig_1	tRNA	48987	49081	-	OBDLAM_00056	trnU	tRNA-SeC(tca)	SO:0005857
contig_1	cds	49374	50756	+	OBDLAM_00057	yicJ	Inner membrane symporter YicJ	SO:0001217, UniRef:UniRef50_P31435
contig_1	cds	50766	53084	+	OBDLAM_00058		Alpha-xylosidase	SO:0001217, UniRef:UniRef50_A0A7X7STN3
contig_1	cds	53137	54846	-	OBDLAM_00059	asmA	AsmA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A212IQ57
contig_1	cds	54967	56358	-	OBDLAM_00060	xanP	xanthine/proton symporter XanP	BlastRules:WP_001295238, SO:0001217, UniRef:UniRef50_G1VFK0
contig_1	cds	56638	57843	+	OBDLAM_00061		Sodium/glutamate symporter	SO:0001217, UniRef:UniRef50_A0A376VD50
contig_1	cds	58009	60090	-	OBDLAM_00062	recG	ATP-dependent DNA helicase RecG	SO:0001217, UniRef:UniRef50_P24230
contig_1	cds	60096	60785	-	OBDLAM_00063		tRNA (guanosine(18)-2'-O)-methyltransferase	SO:0001217, UniRef:UniRef50_Q6DB63
contig_1	cds	60792	62900	-	OBDLAM_00064		Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	SO:0001217, UniRef:UniRef50_Q9KNM2
contig_1	cds	62919	63194	-	OBDLAM_00065		DNA-directed RNA polymerase subunit omega	SO:0001217, UniRef:UniRef50_A0A2D4TDH0
contig_1	cds	63249	63872	-	OBDLAM_00066		Guanylate kinase	SO:0001217, UniRef:UniRef50_Q8ZJQ2
contig_1	cds	64130	65812	+	OBDLAM_00067		DNA ligase B	SO:0001217, UniRef:UniRef50_A4W502
contig_1	cds	65809	66426	-	OBDLAM_00068		Glycine transporter domain-containing protein	SO:0001217, UniRef:UniRef50_A0A088QDU6
contig_1	cds	66718	67542	-	OBDLAM_00069		DNA damage-inducible protein D	SO:0001217, UniRef:UniRef50_A0A7X7BME0
contig_1	cds	67764	68627	-	OBDLAM_00070	yicC	Endoribonuclease YicC	SO:0001217, UniRef:UniRef50_P23839
contig_1	cds	68754	69470	+	OBDLAM_00071		Ribonuclease PH	SO:0001217, UniRef:UniRef50_R9M712
contig_1	cds	69535	70176	+	OBDLAM_00072		Orotate phosphoribosyltransferase	SO:0001217, UniRef:UniRef50_P50587
contig_1	cds	70213	70809	-	OBDLAM_00073	slmA	Nucleoid occlusion factor SlmA	SO:0001217, UniRef:UniRef50_P0C093
contig_1	cds	70916	71374	-	OBDLAM_00074		Deoxyuridine 5'-triphosphate nucleotidohydrolase	SO:0001217, UniRef:UniRef50_Q5ZSN0
contig_1	cds	71352	72572	-	OBDLAM_00075		Coenzyme A biosynthesis bifunctional protein CoaBC	SO:0001217, UniRef:UniRef50_A0A084A2C7
contig_1	cds	72744	73412	+	OBDLAM_00076		UPF0758 protein EBL_c39110	SO:0001217, UniRef:UniRef50_I2BEI5
contig_1	cds	73629	73865	+	OBDLAM_00077		Large ribosomal subunit protein bL28	SO:0001217, UniRef:UniRef50_Q491X0
contig_1	cds	73886	74053	+	OBDLAM_00078		Large ribosomal subunit protein bL33	SO:0001217, UniRef:UniRef50_A0A5P9IIW8
contig_1	cds	74151	74960	+	OBDLAM_00079		Formamidopyrimidine-DNA glycosylase	SO:0001217, UniRef:UniRef50_Q65R59
contig_1	cds	74999	75478	-	OBDLAM_00080		Phosphopantetheine adenylyltransferase	SO:0001217, UniRef:UniRef50_P0A6I6
contig_1	cds	75486	76763	-	OBDLAM_00081		3-deoxy-D-manno-octulosonic acid transferase	SO:0001217, UniRef:UniRef50_A0A084A2C0
contig_1	ncRNA-region	77084	77122	+			JUMPstart RNA	RFAM:RF01707, SO:0005836
contig_1	cds	77170	78240	+	OBDLAM_00082		Lipopolysaccharide heptosyltransferase 3	SO:0001217, UniRef:UniRef50_P25742
contig_1	cds	78237	79361	+	OBDLAM_00083	rfaG	lipopolysaccharide glucosyltransferase I	BlastRules:WP_000634283, EC:2.4.1.-, SO:0001217, UniRef:UniRef50_O68209
contig_1	cds	79354	80151	+	OBDLAM_00084		Lipopolysaccharide core heptose(I) kinase	SO:0001217, UniRef:UniRef50_A0A377DB85
contig_1	cds	80184	81164	+	OBDLAM_00085		Glycosyl transferase family 8	SO:0001217, UniRef:UniRef50_A0A7D8ELF4
contig_1	cds	81178	82257	+	OBDLAM_00086		Lipopolysaccharide 1,6-galactosyltransferase	SO:0001217, UniRef:UniRef50_P27127
contig_1	cds	82257	83276	+	OBDLAM_00087		UDP-glucose:(Glucosyl)lipopolysaccharide alpha-1,3-glucosyltransferase	SO:0001217, UniRef:UniRef50_A0A085FZ91
contig_1	cds	83440	84456	+	OBDLAM_00088	rfaJ	lipopolysaccharide 1,2-glucosyltransferase RfaJ	BlastRules:WP_000376841, BlastRules:WP_000376865, EC:2.4.1.58, SO:0001217, UniRef:UniRef50_P27129
contig_1	cds	84474	85172	+	OBDLAM_00089	waaY	Lipopolysaccharide core heptose(II) kinase WaaY	SO:0001217, UniRef:UniRef50_P27240
contig_1	cds	85244	86053	+	OBDLAM_00090		putative 3-deoxy-manno-octulosonic acid transferase	SO:0001217, UniRef:UniRef50_P27241
contig_1	cds	86106	87248	+	OBDLAM_00091		Lipopolysaccharide 1,2-N-acetylglucosaminetransferase	SO:0001217, UniRef:UniRef50_P26470
contig_1	cds	87302	88519	-	OBDLAM_00092		O-antigen ligase	SO:0001217, UniRef:UniRef50_P26471
contig_1	cds	88558	89514	-	OBDLAM_00093		Lipopolysaccharide heptosyltransferase 1	SO:0001217, UniRef:UniRef50_P0DX54
contig_1	cds	89518	90564	-	OBDLAM_00094		Lipopolysaccharide heptosyltransferase 2	SO:0001217, UniRef:UniRef50_P37692
contig_1	cds	90644	91624	-	OBDLAM_00095		ADP-L-glycero-D-manno-heptose-6-epimerase	SO:0001217, UniRef:UniRef50_P67910
contig_1	cds	91838	93034	+	OBDLAM_00096		2-amino-3-ketobutyrate coenzyme A ligase	SO:0001217, UniRef:UniRef50_A0A947FSC3
contig_1	cds	93044	94069	+	OBDLAM_00097		L-threonine 3-dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2X2T2A0
contig_1	cds	94308	95342	+	OBDLAM_00098	waaH	UDP-glucuronate:LPS(HepIII) glycosyltransferase	BlastRules:WP_000982115, EC:2.4.1.17, SO:0001217, UniRef:UniRef50_P11290
contig_1	cds	95329	96288	-	OBDLAM_00099		Putative divergent polysaccharide deacetylase	SO:0001217, UniRef:UniRef50_A0A380PW27
contig_1	cds	96292	97551	-	OBDLAM_00100		hypothetical protein	PFAM:PF01551.29
contig_1	cds	97585	99129	-	OBDLAM_00101		2,3-bisphosphoglycerate-independent phosphoglycerate mutase	SO:0001217, UniRef:UniRef50_P37689
contig_1	cds	99374	99805	+	OBDLAM_00102		Rhodanese-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6L6FAE8
contig_1	cds	99947	100198	+	OBDLAM_00103		Glutaredoxin	SO:0001217, UniRef:UniRef50_A0A2X3DLN4
contig_1	cds	100261	100728	+	OBDLAM_00104	secB	Protein-export protein SecB	SO:0001217, UniRef:UniRef50_B2VL52
contig_1	cds	100728	101747	+	OBDLAM_00105		Glycerol-3-phosphate dehydrogenase [NAD(P)+]	SO:0001217, UniRef:UniRef50_P0A6S7
contig_1	cds	101827	102648	+	OBDLAM_00106		Serine acetyltransferase	SO:0001217, UniRef:UniRef50_P0A9D4
contig_1	cds	102701	103174	-	OBDLAM_00107		tRNA (cytidine(34)-2'-O)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A7G2IVK6
contig_1	cds	103372	104562	-	OBDLAM_00108	lldD	quinone-dependent L-lactate dehydrogenase	BlastRules:WP_000586962, BlastRules:WP_003899057, BlastRules:WP_011015490, SO:0001217, UniRef:UniRef50_P33232
contig_1	cds	104559	105335	-	OBDLAM_00109		Putative L-lactate dehydrogenase operon regulatory protein	SO:0001217, UniRef:UniRef50_P0ACL7
contig_1	cds	105335	106990	-	OBDLAM_00110		L-lactate permease	SO:0001217, UniRef:UniRef50_P33231
contig_1	cds	107362	107724	-	OBDLAM_00111	yibL	Uncharacterized protein YibL	SO:0001217, UniRef:UniRef50_P0ADK8
contig_1	cds	108009	108218	+	OBDLAM_00112		Cytoplasmic protein	SO:0001217, UniRef:UniRef50_A9MLC7
contig_1	cds	108230	108817	-	OBDLAM_00113	mtlR	mannitol operon repressor MtlR	BlastRules:WP_000228269
contig_1	cds	108817	109965	-	OBDLAM_00114		Mannitol-1-phosphate 5-dehydrogenase	SO:0001217, UniRef:UniRef50_Q8Z9X0
contig_1	cds	110195	112108	-	OBDLAM_00115	mtlA	PTS mannitol transporter subunit IICBA	BlastRules:WP_000093247, EC:2.7.1.198, SO:0001217, UniRef:UniRef50_P00550
contig_1	cds	112645	113007	+	OBDLAM_00116		DUF3302 domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAQ1K754
contig_1	cds	113010	114146	+	OBDLAM_00117	yiaV	Inner membrane protein YiaV	SO:0001217, UniRef:UniRef50_P37683
contig_1	cds	115751	116212	-	OBDLAM_00118	yibG	Uncharacterized protein YibG	SO:0001217, UniRef:UniRef50_P32106
contig_1	cds	116224	117162	-	OBDLAM_00119	yibJ	Putative uncharacterized protein YibJ	SO:0001217, UniRef:UniRef50_P32109
contig_1	cds	117210	118052	-	OBDLAM_00120		Lyase	SO:0001217, UniRef:UniRef50_W1F234
contig_1	cds	118073	122206	-	OBDLAM_00121		RHS element core protein	SO:0001217, UniRef:UniRef50_UPI000F9B019F
contig_1	cds	122434	123042	+	OBDLAM_00122	yibF	Uncharacterized GST-like protein YibF	SO:0001217, UniRef:UniRef50_P0ACA1
contig_1	cds	123140	124531	+	OBDLAM_00123		L-seryl-tRNA(Sec) selenium transferase	SO:0001217, UniRef:UniRef50_P0A821
contig_1	cds	124528	126372	+	OBDLAM_00124		Selenocysteine-specific elongation factor	SO:0001217, UniRef:UniRef50_K8WL70
contig_1	cds	126562	127713	+	OBDLAM_00125		Putative alcohol dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2K4WQU9
contig_1	cds	127878	129416	+	OBDLAM_00126	aldB	aldehyde dehydrogenase AldB	BlastRules:WP_000183980, SO:0001217, UniRef:UniRef50_Q9FDS1
contig_1	cds	129635	129847	-	OBDLAM_00127		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0H3PXU3
contig_1	cds	129961	130284	+	OBDLAM_00128		DUF3302 domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAQ1K754
contig_1	cds	130290	131426	+	OBDLAM_00129	yiaV	Inner membrane protein YiaV	SO:0001217, UniRef:UniRef50_P37683
contig_1	cds	131423	132397	-	OBDLAM_00130	yiaU	Uncharacterized HTH-type transcriptional regulator YiaU	SO:0001217, UniRef:UniRef50_P37682
contig_1	cds	132521	133261	+	OBDLAM_00131	yiaT	Putative outer membrane protein YiaT	SO:0001217, UniRef:UniRef50_P37681
contig_1	cds	133608	134303	-	OBDLAM_00132	araD	L-ribulose-5-phosphate 4-epimerase AraD	SO:0001217, UniRef:UniRef50_P08203
contig_1	cds	134297	135157	-	OBDLAM_00133	sgbU	Putative L-ribulose-5-phosphate 3-epimerase SgbU	SO:0001217, UniRef:UniRef50_P37679
contig_1	cds	135150	135812	-	OBDLAM_00134	sgbH	3-keto-L-gulonate-6-phosphate decarboxylase SgbH	SO:0001217, UniRef:UniRef50_P37678
contig_1	cds	135809	137305	-	OBDLAM_00135	lyxK	L-xylulokinase	BlastRules:WP_000196054, EC:2.7.1.53, SO:0001217, UniRef:UniRef50_P44991
contig_1	cds	137309	138295	-	OBDLAM_00136	yiaO	2,3-diketo-L-gulonate transporter substrate-binding protein YiaO	BlastRules:WP_000776887, SO:0001217, UniRef:UniRef50_P37676
contig_1	cds	138308	139585	-	OBDLAM_00137		TRAP transporter large permease protein	SO:0001217, UniRef:UniRef50_A0A068TB37
contig_1	cds	139588	140061	-	OBDLAM_00138		TRAP transporter small permease protein	SO:0001217, UniRef:UniRef50_A0A376NYG4
contig_1	cds	140179	140646	-	OBDLAM_00139		Sugar isomerase	SO:0001217, UniRef:UniRef50_A0A0F5F162
contig_1	cds	140658	141656	-	OBDLAM_00140		2,3-diketo-L-gulonate reductase	SO:0001217, UniRef:UniRef50_P37672
contig_1	cds	141857	142705	+	OBDLAM_00141	yiaJ	IclR family transcriptional regulator YiaJ	BlastRules:WP_000514240, SO:0001217, UniRef:UniRef50_P37671
contig_1	cds	142807	143280	+	OBDLAM_00142	hydN	Electron transport protein HydN	SO:0001217, UniRef:UniRef50_A0A3P2EL24
contig_1	ncRNA	143362	143404	+	OBDLAM_00143	ES036	ES036 (CssrF) sRNA	RFAM:RF02751, SO:0000655
contig_1	cds	143431	144684	-	OBDLAM_00144		Valine--pyruvate aminotransferase	SO:0001217, UniRef:UniRef50_P09053
contig_1	cds	144862	146892	-	OBDLAM_00145		Periplasmic alpha-amylase	SO:0001217, UniRef:UniRef50_P25718
contig_1	cds	147212	148036	+	OBDLAM_00146		Protein bax	SO:0001217, UniRef:UniRef50_P27297
contig_1	cds	148232	149410	-	OBDLAM_00147	xylR	DNA-binding transcriptional regulator XylR	BlastRules:WP_000494484, SO:0001217, UniRef:UniRef50_P0ACI3
contig_1	cds	149488	150669	-	OBDLAM_00148	xylH	xylose ABC transporter permease XylH	BlastRules:WP_000045978, EC:7.5.2.-, SO:0001217, UniRef:UniRef50_P0AGI4
contig_1	cds	150647	152188	-	OBDLAM_00149	xylG	Xylose import ATP-binding protein XylG	SO:0001217, UniRef:UniRef50_P45046
contig_1	cds	152266	153258	-	OBDLAM_00150		D-xylose ABC transporter, periplasmic substrate-binding protein	SO:0001217, UniRef:UniRef50_B2JFE8
contig_1	cds	153624	154946	+	OBDLAM_00151		Xylose isomerase	SO:0001217, UniRef:UniRef50_P00944
contig_1	cds	155018	156472	+	OBDLAM_00152		Xylulose kinase	SO:0001217, UniRef:UniRef50_P09099
contig_1	cds	156641	156982	+	OBDLAM_00153		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A2Y0P7Z4
contig_1	cds	157028	157465	+	OBDLAM_00154		YiaAB two helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1A8XTY7
contig_1	cds	157507	158502	-	OBDLAM_00155	wecH	O-acetyltransferase WecH	BlastRules:WP_001182650, EC:2.3.1.-, SO:0001217, UniRef:UniRef50_P37669
contig_1	cds	158677	158976	+	OBDLAM_00156	ysaB	Uncharacterized lipoprotein YsaB	SO:0001217, UniRef:UniRef50_Q8ZL94
contig_1	cds	159071	159982	+	OBDLAM_00157		Glycine--tRNA ligase alpha subunit	SO:0001217, UniRef:UniRef50_P00960
contig_1	cds	159992	162061	+	OBDLAM_00158		Glycine--tRNA ligase beta subunit	SO:0001217, UniRef:UniRef50_P00961
contig_1	ncRNA	162235	162374	+	OBDLAM_00159	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	162340	163191	-	OBDLAM_00160	tnp	IS3 family IS150 transposase ORF B	IS:IS150, SO:0001217, UniRef:UniRef50_P19769
contig_1	cds	163188	163709	-	OBDLAM_00161	tnp	IS3 family IS150 transposase ORF A	IS:IS150, SO:0001217, UniRef:UniRef50_A0A0H2V168
contig_1	cds	163789	163941	+	OBDLAM_00162		Membrane permeability altering protein	SO:0001217, UniRef:UniRef50_Q328L8
contig_1	ncRNA-region	164073	164500	-			cspA thermoregulator	RFAM:RF01766, SO:0002168
contig_1	cds	164128	164340	-	OBDLAM_00163		CSD domain-containing protein	SO:0001217, UniRef:UniRef50_A7ME79
contig_1	cds	164621	164911	-	OBDLAM_00164		HTH cro/C1-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0U5L8Z4
contig_1	cds	165345	166055	+	OBDLAM_00165	yiaF	Uncharacterized protein YiaF	SO:0001217, UniRef:UniRef50_P0ADK0
contig_1	cds	166105	167079	-	OBDLAM_00166		2-ketogluconate reductase (2-ketoaldonate reductase)	SO:0001217, UniRef:UniRef50_B4F0A9
contig_1	cds	167183	167842	-	OBDLAM_00167	yiaD	putative lipoprotein YiaD	SO:0001217, UniRef:UniRef50_P37665
contig_1	cds	167995	170328	+	OBDLAM_00168	bisC	biotin sulfoxide reductase	BlastRules:WP_000013950, EC:1.8.4.13, SO:0001217, UniRef:UniRef50_P20099
contig_1	cds	170297	170737	-	OBDLAM_00169	yiaC	Peptidyl-lysine N-acetyltransferase YiaC	SO:0001217, UniRef:UniRef50_P37664
contig_1	cds	170734	171297	-	OBDLAM_00170		DNA-3-methyladenine glycosylase I	SO:0001217, UniRef:UniRef50_A0A0P8C1D0
contig_1	cds	171455	172153	+	OBDLAM_00171	yhjY	Uncharacterized protein YhjY	SO:0001217, UniRef:UniRef50_P37663
contig_1	cds	172382	173590	+	OBDLAM_00172		Transporter	SO:0001217, UniRef:UniRef50_A0A377BUR8
contig_1	cds	173914	175605	+	OBDLAM_00173		Kdo(2)-lipid A phosphoethanolamine 7''-transferase	SO:0001217, UniRef:UniRef50_P37661
contig_1	tRNA	175697	175773	+	OBDLAM_00174	trnP	tRNA-Pro(cgg)	SO:0000268
contig_1	ncRNA-region	175808	175941	+			RtT RNA	RFAM:RF00391, SO:0005836
contig_1	ncRNA	176035	176114	-	OBDLAM_00175	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_1	cds	176684	178291	+	OBDLAM_00176	dppA	dipeptide ABC transporter substrate-binding protein DppA	BlastRules:WP_001222883, SO:0001217, UniRef:UniRef50_P33950
contig_1	ncRNA	178350	178392	-	OBDLAM_00177	ES036	ES036 (CssrF) sRNA	RFAM:RF02751, SO:0000655
contig_1	cds	178599	179618	+	OBDLAM_00178	dppB	Dipeptide transport system permease protein DppB	SO:0001217, UniRef:UniRef50_P0AEF8
contig_1	cds	179628	180530	+	OBDLAM_00179	dppC	Dipeptide transport system permease protein DppC	SO:0001217, UniRef:UniRef50_P0AEG1
contig_1	cds	180541	181524	+	OBDLAM_00180		ABC-type dipeptide transporter	SO:0001217, UniRef:UniRef50_A0A2X3JYC5
contig_1	cds	181521	182525	+	OBDLAM_00181	dppF	dipeptide ABC transporter ATP-binding subunit DppF	BlastRules:WP_000107012, EC:7.4.2.-, SO:0001217, UniRef:UniRef50_P37313
contig_1	cds	182555	183826	-	OBDLAM_00182	yhjV	Inner membrane transport protein YhjV	SO:0001217, UniRef:UniRef50_P37660
contig_1	ncRNA	184188	184253	-	OBDLAM_00183	rdlD	rdlD antitoxin	RFAM:RF01813, SO:0000655
contig_1	cds	184302	184409	+	OBDLAM_00184	ldrD	type I toxin-antitoxin system toxic polypeptide LdrD	BlastRules:WP_000141634, SO:0001217, UniRef:UniRef50_A0A234WDZ3
contig_1	cds	184496	186175	-	OBDLAM_00185	bcsG	Cellulose biosynthesis protein BcsG	SO:0001217, UniRef:UniRef50_P37659
contig_1	cds	186172	186363	-	OBDLAM_00186	bcsF	Cellulose biosynthesis protein BcsF	SO:0001217, UniRef:UniRef50_V5TUB6
contig_1	cds	186360	187919	-	OBDLAM_00187	bcsE	Cyclic di-GMP binding protein BcsE	SO:0001217, UniRef:UniRef50_P37657
contig_1	cds	188204	188392	+	OBDLAM_00188	yhjR	YhjR family protein	SO:0001217, UniRef:UniRef50_A0A3L5GXU2
contig_1	cds	188404	188607	+	OBDLAM_00189		hypothetical protein	PFAM:PF02374.21, PFAM:PF06564.18, PFAM:PF13614.12
contig_1	cds	188620	189156	+	OBDLAM_00190		Cell division protein	SO:0001217, UniRef:UniRef50_A0A376RCQ1
contig_1	cds	189153	191771	+	OBDLAM_00191		Cellulose synthase catalytic subunit [UDP-forming]	SO:0001217, UniRef:UniRef50_A0A7U7ERY7
contig_1	cds	191818	194121	+	OBDLAM_00192		Cyclic di-GMP-binding protein	SO:0001217, UniRef:UniRef50_P37652
